CD44-003	ENST00000263398
CD44-001	ENST00000428726
CD44-004	ENST00000415148
CD44-005	ENST00000433892
CD44-008	ENST00000434472
CD44-007	ENST00000352818
CD44-002	ENST00000278386
CD44-202	ENST00000433354
CD44-204	ENST00000449691
CD44-203	ENST00000437706
CD44-006	ENST00000442151
CD44-201	ENST00000360158
CD44-011	ENST00000526025
CD44-019	ENST00000526669
CD44-024	ENST00000279452
CD44-039	ENST00000531110
CD44-033	ENST00000525211
CD44-028	ENST00000525685
CD44-040	ENST00000526000
CD44-015	ENST00000525469
CD44-032	ENST00000278385
CD44-035	ENST00000528455
CD44-037	ENST00000528672
CD44-030	ENST00000531873
CD44-034	ENST00000533222
CD44-041	ENST00000526553
CD44-036	ENST00000525688
CD44-038	ENST00000527889
CD44-026	ENST00000524922
CD44-009	ENST00000425428
CD44-025	ENST00000528922
CD44-012	ENST00000528086
CD44-023	ENST00000525209
CD44-018	ENST00000531118
CD44-021	ENST00000534296
CD44-014	ENST00000527326
CD44-016	ENST00000532339
CD44-027	ENST00000525293
CD44-017	ENST00000525348
CD44-020	ENST00000534082
CD44-013	ENST00000531141
CD44-022	ENST00000525241
