Rank,NAME,Av_ESC+iPS,Av_DIFF,C_p-value Wilcox,ESCvsDIFF,DIFFvsESC,ESC_H1-a,ESC_H1-b,ESC_H9-a,ESC_H9-b,ESC_hES2,iPS-a,iPS-b,CL_Fibroblast,CL_Gm12878,CL_HNEK,CL_HUVEC,CL_MCF7,CL_293T,CL_HeLa,Adipose,Adrenal,Brain-a,Cortex,Cerebellum,Breast,Colon,Heart-a,Heart-b,Muscle,Kidney-a,Kidney-b,Liver-a,Liver-b,Lung,LymphNode,Ovary,Prostate,Testis-a,Testis-b,Thyroid,WBC
1,MBNL1,3.16,41.87,0.014,0.08,13.26,2,4.2,2.95,1.91,3.39,3.92,3.73,28.82,35.73,24.49,37.49,26.36,19.27,26.2,52.78,77.69,22.3,10.26,7.75,69.55,72.7,47.22,13.97,75.24,30.22,5.08,16.13,6.49,76.8,78.47,45.43,71.11,37.59,7.59,46.46,144.9
2,MBNL2,0.98,25.62,0.014,0.04,26.22,0.47,1.06,2.48,0.46,0.41,0.98,0.98,19.62,1.89,8.92,11.44,14.86,2.65,10.76,37.06,27.79,86.44,28.03,21.48,50.56,43.49,28,9.84,19.64,27.78,3.91,34.87,6.61,44.12,40.5,33.62,42.76,28.14,5.57,36.48,16.04
3,CELF6,0.05,1.94,0.012,0.03,38.87,0.02,0.04,0.19,0.01,0.03,0.03,0.03,0.67,0.4,0.05,0.29,0.33,0.15,0.05,0.35,0.87,2.75,12.1,7.48,0.53,1.28,0.18,2.22,0.06,2.87,3.75,0.22,0.58,0.66,1.92,1.62,2.32,2.16,9.16,1.19,0.15
4,RBM18,5.52,10.34,0.129,0.53,1.87,5.87,6.87,5.3,3.19,6.99,4.54,5.86,8.79,7.52,13.11,4.74,20.26,12.65,15.66,5.97,8.92,12.22,7.43,7.05,10.42,12.04,15.68,7.26,10.64,13.63,3.72,4.27,1.71,7.66,15.08,12.65,18.46,10.83,5.1,9.9,16.39
5,SRSF8,6.64,13.38,0.402,0.50,2.02,4.33,6.51,4.1,5.9,13.58,6.34,5.72,6.88,9.11,13.29,11.44,9.23,16.59,10.24,14.94,27.92,19.71,11.63,13.44,16.48,14.16,6.03,4.31,4.69,20.73,8.18,9.99,6.54,7.39,20.78,25.4,18.56,13.59,3.2,25.5,18.12
6,LSMD1,7.79,26.90,0.044,0.29,3.45,14.6,4.87,14.88,13.65,3.54,0.36,2.6,24.77,23.89,26.2,129.12,13.33,40.28,21.62,11.07,19.71,15.37,51.12,41.26,12.95,13.61,8.25,39.1,7.53,17.51,60.61,8.08,36.16,11.86,11.67,9,12.77,28.91,58.63,14.95,10.63
7,BICC1,0.44,5.70,0.374,0.08,12.92,0.22,0.36,0.52,0.4,0.34,0.44,0.81,18.5,0.01,2.57,0.03,0.01,2.65,7.51,7.49,8.92,1.25,1.01,0.08,5.03,5.02,3.44,1.59,0.93,28.81,9.15,0.97,0.37,7.24,8.11,21.38,5.46,9.97,2.87,5.03,0.01
8,RBMS3,0.88,5.01,1.000,0.18,5.66,0.31,0.69,1.67,0.83,0.5,1.1,1.09,4.54,0.64,1.91,10.25,0,0.36,2.77,23.58,4.99,0.89,1.22,0.72,8.65,7.77,4.33,5.86,2.72,2.19,1.76,0.59,0.68,12.71,7.91,6.43,6.44,6.13,7.7,11.46,0.05
9,UHMK1,7.35,15.59,1.000,0.47,2.12,3.03,6.99,6.53,3.72,7.77,16.87,6.55,13.19,9.68,21.08,5.36,22.43,19.41,22.12,21.05,17.68,22.76,8.94,3.57,32.67,9.11,10.31,2.53,11.61,24.09,4.62,16.54,3.83,16.8,22.81,13.53,12.54,13.92,3.78,16.91,49.15
10,SRPK3,0.15,2.25,0.032,0.07,14.59,0.19,0.06,0.43,0.31,0.03,0.02,0.04,0.17,0.08,0.08,0.16,0.35,1.2,0.27,0.08,0.39,0.8,3.06,7.49,0.93,1.73,5.89,15.99,19.07,0.08,0.31,0.01,0.04,0.22,0.33,0.31,1.88,0.92,0.53,2.9,0
11,ISY1,5.36,8.89,0.283,0.60,1.66,8.25,4.93,7.46,4.93,4.61,5,2.31,9.46,18.76,5.76,7.27,17.4,19.6,17.58,8.8,13.72,5.28,4.86,6.33,8.23,9.58,4.01,5.1,3.74,6.87,6.11,2.65,3.47,6.54,10.07,10.02,10,9.13,6.43,9.73,11.22
12,RBM22,14.26,21.07,0.012,0.68,1.48,13.49,20.78,16.4,12.09,15.08,5.3,16.65,13.88,27.51,22.29,19.96,39.43,43.82,34.87,17.55,21.95,17.93,14.85,17.55,17.12,17.29,10.88,8.12,23.17,18.47,9.73,7.05,5.67,26.04,25.98,31.8,23.69,21.54,14.97,19.07,38.92
13,RBMXL2,0.03,2.24,1.000,0.01,68.31,0,0.01,0.02,0,0,0.2,0,0,0.05,0.01,0.22,0,0.06,0.02,0.08,0,0.01,0.02,0.02,0,0,0,0.01,0,0.03,0.02,0,0.07,0.08,0.17,0,0,23.97,40.24,0.01,0
14,RBMS2,3.24,8.51,1.000,0.38,2.63,1.49,3.31,4.68,3.41,3.63,2.04,4.12,12.25,0.96,21.32,22.47,3.93,3.86,10.78,24.57,10.37,3.21,2.11,1.67,13.96,10.55,7.18,3.93,1.63,7.81,3.57,1.33,0.57,28.13,8.86,7.44,7.26,4.46,4.27,13.29,4.94
15,RBM23,15.22,23.61,0.048,0.64,1.55,17.89,15.32,21.37,23.17,11.55,3.83,13.4,15,24.48,25.01,37.94,59.05,45.22,27.95,12.84,22.73,12.89,21.82,35.21,10.7,13.44,9.74,12.86,7.76,22.95,24.45,9.25,12.84,15.81,28.86,33.66,23.39,24.36,25.52,24.63,44.19
