ENSEMBL	ENTREZID	SYMBOL	gene_type	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000127022	821	CANX	protein_coding	1.48786241030196	9.60759767393004	6.54548420005061	2.97281888791214e-06	0.00987051562230607	4.78366337126169
ENSG00000198840	4537	ND3	protein_coding	-2.51983631640494	4.93902142213324	-6.49870114038251	3.27136154521703e-06	0.00987051562230607	4.67191303906476
ENSG00000269028	100462981	MTRNR2L2	protein_coding	-2.22728915543893	3.34152776617298	-6.59713296973337	2.67567272318685e-06	0.00987051562230607	4.64834103525018
ENSG00000228253	4509	ATP8	protein_coding	-2.56299985116111	2.93942739186439	-6.66379898997982	2.33683789033638e-06	0.00987051562230607	4.59574352282911
ENSG00000212907	4539	ND4L	protein_coding	-2.14520151484774	5.95871807489754	-5.96562199539024	9.93314446900227e-06	0.0162640362997436	3.636084056292
ENSG00000213741	6235	RPS29	protein_coding	-1.67556670567524	5.74770045215717	-5.94688406186225	1.03354555894814e-05	0.0162640362997436	3.5983579741067
ENSG00000198938	4514	COX3	protein_coding	-2.53263076138648	11.730926027131	-5.83005076732709	1.32515870156335e-05	0.0162640362997436	3.36295845688444
ENSG00000164163	6059	ABCE1	protein_coding	1.70391685122589	7.18382640133238	5.81290811424067	1.37456955365781e-05	0.0162640362997436	3.32474930373793
ENSG00000142892	10026	PIGK	protein_coding	2.78640502453629	5.70988695063867	5.78108624645149	1.47136638498549e-05	0.0162640362997436	3.02750263178625
ENSG00000067704	55699	IARS2	protein_coding	1.55026145231479	6.48291518622911	5.67042693865666	1.8659748547301e-05	0.0162640362997436	3.02727231664368
ENSG00000008128	728642	CDK11A	protein_coding	-2.22976933841663	4.34813386796462	-5.6557339084035	1.92598949270352e-05	0.0162640362997436	2.9954432047789
ENSG00000166734	113201	CASC4	protein_coding	1.67675177638245	6.5940637391745	5.64425810536283	1.97423739789823e-05	0.0162640362997436	2.98079532950834
ENSG00000198918	6170	RPL39	protein_coding	-1.52188888047821	7.6008649021606	-5.63999301882236	1.9924834900156e-05	0.0162640362997436	2.96820681782473
ENSG00000198886	4538	ND4	protein_coding	-2.49456724269245	11.1071228814858	-5.61692930887326	2.09418889092107e-05	0.0162640362997436	2.9287702949706
ENSG00000107798	3988	LIPA	protein_coding	1.66372321483873	6.96321376425504	5.60343665841418	2.15614036619353e-05	0.0162640362997436	2.90317676841902
ENSG00000181789	22820	COPG1	protein_coding	1.0384431510449	7.0392627320538	5.53816274982543	2.483460509821e-05	0.0163313742583287	2.76934604307195
ENSG00000109475	6164	RPL34	protein_coding	-1.51736499376787	7.85425471941711	-5.51567209820377	2.60768587343264e-05	0.0163313742583287	2.71048168100154
ENSG00000248333	984	CDK11B	protein_coding	-2.01130127407368	3.14877272474497	-5.53633972214007	2.49330024872441e-05	0.0163313742583287	2.63574200645043
ENSG00000008988	6224	RPS20	protein_coding	-1.60778700072912	8.08804334159403	-5.46764190426384	2.89472862727882e-05	0.0163313742583287	2.61090082531232
ENSG00000171858	6227	RPS21	protein_coding	-1.50473685687096	5.71063176104736	-5.45882864546427	2.95081476587981e-05	0.0163313742583287	2.60454890951231
ENSG00000153006	285672	SREK1IP1	protein_coding	-1.43610546105485	4.09913752122584	-5.45477746720578	2.97696771632474e-05	0.0163313742583287	2.57254365350416
ENSG00000167110	2801	GOLGA2	protein_coding	-1.45645899739975	3.79615329076463	-5.38910113365178	3.43565497600316e-05	0.0180282260458183	2.43095249032485
ENSG00000078618	4898	NRDC	protein_coding	0.904417458947003	7.77175414188003	5.36575553489661	3.61560653987291e-05	0.0181819813873859	2.40335563334427
ENSG00000157538	10311	DSCR3	protein_coding	1.43908332206362	6.30443454680461	5.33641614635651	3.85550433932918e-05	0.0186128327485456	2.35611788146477
ENSG00000184990	10572	SIVA1	protein_coding	-1.47001799569221	6.86792828455369	-5.24214713581626	4.74233249989568e-05	0.0220135426697081	2.14053399595925
ENSG00000118181	6230	RPS25	protein_coding	-1.33793235198981	8.82049559360193	-5.18838136087432	5.33887464050278e-05	0.022131643520899	2.02539758210832
ENSG00000131174	1349	COX7B	protein_coding	-1.40939876626767	5.81866316375628	-5.16065225334037	5.67593750726016e-05	0.022131643520899	1.98154314536967
ENSG00000038219	259282	BOD1L1	protein_coding	-1.21243880541917	6.13503450858922	-5.1575000122044	5.7156049008763e-05	0.022131643520899	1.97097590025088
ENSG00000170248	10015	PDCD6IP	protein_coding	1.19984481819755	7.50626657404924	5.13472345555322	6.01075467100142e-05	0.022131643520899	1.9252084847504
ENSG00000255073	NA	NA	protein_coding	-6.74011244742126	-1.5177863358213	-5.98759895132143	9.48173086830365e-06	0.0162640362997436	1.91433585317309
