ENSEMBL	ENTREZID	SYMBOL	gene_type	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000170873	9788	MTSS1	protein_coding	-4.08905122551527	4.60145866229475	-4.99197261327144	0.00013950970730988	0.998107219177516	-4.39662902886756
ENSG00000135363	4005	LMO2	protein_coding	-1.17328162422206	7.66501733976488	-3.17286134925435	0.00600203792867388	0.998107219177516	-4.42117171397594
ENSG00000188313	5359	PLSCR1	protein_coding	-1.20871500101297	5.86938079083194	-3.3228275563751	0.00438699250787947	0.998107219177516	-4.42887024523323
ENSG00000170142	7324	UBE2E1	protein_coding	-1.06245117445399	5.13212869996044	-3.62688485257027	0.00231934062661195	0.998107219177516	-4.4318604528837
ENSG00000144802	64332	NFKBIZ	protein_coding	-1.55858035632229	7.31162701127744	-2.86208265175728	0.0114358997318738	0.998107219177516	-4.44805869249719
ENSG00000172236	7177	TPSAB1	protein_coding	-4.71460458649979	5.94417435263781	-2.89074684553215	0.0107799071035983	0.998107219177516	-4.46107023750618
ENSG00000169442	1043	CD52	protein_coding	-3.12464010980452	7.59430441397682	-2.75153581944461	0.0143483135338805	0.998107219177516	-4.46431069865694
ENSG00000102804	8848	TSC22D1	protein_coding	-2.46469672344999	9.18264223732452	-2.8070065935011	0.0128069407439906	0.998107219177516	-4.46520035703981
ENSG00000136146	29079	MED4	protein_coding	-0.735005516144311	6.5969608005696	-2.68059390196181	0.0165823102502771	0.998107219177516	-4.46792427061648
ENSG00000239306	10432	RBM14	protein_coding	0.907969173337174	7.01489724282302	2.78391545853337	0.0134280437678462	0.998107219177516	-4.468074009065
ENSG00000115956	5341	PLEK	protein_coding	1.15627329227206	8.00962543090952	2.60957804370045	0.0191518949597185	0.998107219177516	-4.47004414869371
ENSG00000178209	5339	PLEC	protein_coding	-2.38163038006891	6.50949188599034	-2.61167344355266	0.0190708870920381	0.998107219177516	-4.47149929279884
ENSG00000216490	10437	IFI30	protein_coding	-2.01537068264299	4.75183055913002	-2.8802492072544	0.0110157852994495	0.998107219177516	-4.47337538039951
ENSG00000116717	1647	GADD45A	protein_coding	-2.39304819804393	6.60377676801531	-2.58756967668705	0.0200228790116364	0.998107219177516	-4.47445728552839
ENSG00000164111	308	ANXA5	protein_coding	-3.30139797641933	5.98186229735986	-2.69475043016443	0.0161113028441332	0.998107219177516	-4.47753003361779
ENSG00000247596	11344	TWF2	protein_coding	0.979466751997522	6.48648703007404	2.7719360229353	0.0137616565033659	0.998107219177516	-4.477598292459
ENSG00000080546	27244	SESN1	protein_coding	-1.53790738512841	6.36775917031153	-2.54928613401713	0.0216289173462831	0.998107219177516	-4.48091299910099
ENSG00000113369	57561	ARRDC3	protein_coding	-0.943295851586712	7.41445359981906	-2.43713156102632	0.0270703417186997	0.998107219177516	-4.48319127806619
ENSG00000169223	10960	LMAN2	protein_coding	0.842276051601535	7.56840356149427	2.47721770862878	0.0249911647687833	0.998107219177516	-4.48348248918568
ENSG00000197102	1778	DYNC1H1	protein_coding	-1.00882186218969	7.10936664186439	-2.42277426426134	0.0278540643587625	0.998107219177516	-4.4845177509984
ENSG00000161638	3678	ITGA5	protein_coding	-1.25572984514206	8.35799041015899	-2.45430116469774	0.0261604908815557	0.998107219177516	-4.48492989355353
ENSG00000182809	1397	CRIP2	protein_coding	-5.05231491143777	3.87892450296803	-3.70881684844112	0.00195331471617791	0.998107219177516	-4.48526351551722
ENSG00000185201	10581	IFITM2	protein_coding	1.09109249453052	7.54789832270985	2.44922550481785	0.026426400532373	0.998107219177516	-4.48808440730482
ENSG00000117289	NA	NA	NA	-2.19587631412183	10.2497477595847	-2.59107976624602	0.0198814708950625	0.998107219177516	-4.48963987204329
ENSG00000086666	54469	ZFAND6	protein_coding	-1.12003189289014	5.98448566571322	-2.47883526815532	0.0249105291718775	0.998107219177516	-4.48980146854375
ENSG00000158050	1844	DUSP2	protein_coding	-2.59272595830127	6.85384405377734	-2.39770998246769	0.0292738639422897	0.998107219177516	-4.48983710543338
ENSG00000120963	51123	ZNF706	protein_coding	-0.721519092214168	7.03113221225993	-2.36813356199963	0.031037009360328	0.998107219177516	-4.49085969476925
ENSG00000180957	23760	PITPNB	protein_coding	-0.905340736996989	6.80635190090224	-2.374478602186	0.0306505402836044	0.998107219177516	-4.49088725525405
ENSG00000125148	4502	MT2A	protein_coding	-2.98552688921698	4.75876924998166	-2.63204777554978	0.0183001477823614	0.998107219177516	-4.49105095676574
ENSG00000160932	4061	LY6E	protein_coding	-1.48018163067957	8.22854359309966	-2.38835399310413	0.0298211346280301	0.998107219177516	-4.49125875866946
ENSG00000140941	81631	MAP1LC3B	protein_coding	-1.44589210603757	8.24140210925807	-2.36502311880917	0.0312281330074806	0.998107219177516	-4.49226133754117
ENSG00000128245	7533	YWHAH	protein_coding	-0.913817548672787	8.26176078374448	-2.34823492015826	0.0322789443947997	0.998107219177516	-4.49281812647512
ENSG00000101187	28231	SLCO4A1	protein_coding	-2.53122777298149	4.00275506745155	-3.4152722090901	0.00361467460517774	0.998107219177516	-4.4938533022979
ENSG00000169641	7798	LUZP1	protein_coding	-1.31065202339314	7.12514502725755	-2.29684985694479	0.0357051703894841	0.998107219177516	-4.49546597260043
ENSG00000089159	5829	PXN	protein_coding	-1.57866442766997	6.43242120306854	-2.34829178357582	0.0322753297678351	0.998107219177516	-4.49552341108035
ENSG00000187514	5757	PTMA	protein_coding	-1.15968912521338	11.4278142465103	-2.57108284251714	0.0207000354242616	0.998107219177516	-4.4968824363737
ENSG00000169925	8019	BRD3	protein_coding	0.835190239420214	6.91803777647866	2.418505196677	0.0280912054001921	0.998107219177516	-4.49697437619782
ENSG00000161835	160622	GRASP	protein_coding	-3.93155677299966	5.49369621543475	-2.56335218121343	0.0210250372139537	0.998107219177516	-4.49737562113449
ENSG00000081041	2920	CXCL2	protein_coding	-2.11853416071078	5.3006243443356	-2.50751141090247	0.0235213835199773	0.998107219177516	-4.49774540715257
ENSG00000118640	8673	VAMP8	protein_coding	0.822224038950773	7.59031986978873	2.2750802941492	0.0372569172993204	0.998107219177516	-4.49933471781966
ENSG00000138434	6744	SSFA2	protein_coding	-1.53031558223657	6.89434634552528	-2.25816629057475	0.0385057580111225	0.998107219177516	-4.49952319857541
ENSG00000163346	57326	PBXIP1	protein_coding	1.20302444190054	7.66418153026923	2.33844598700077	0.0329068920674479	0.998107219177516	-4.50005521661802
ENSG00000123064	79039	DDX54	protein_coding	0.705305294056475	6.57373464916565	2.40462945143521	0.0288752225201543	0.998107219177516	-4.50051292788063
