ENSEMBL	ENTREZID	SYMBOL	gene_type	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000081985	3595	IL12RB2	protein_coding	-8.06347288339662	-0.351270578245216	-8.21433310116014	1.186462841536e-07	0.000883474433567179	6.60095458549225
ENSG00000196368	55190	NUDT11	protein_coding	-8.2734250121531	-1.96888470903447	-7.76961907876052	2.69891954808542e-07	0.000883474433567179	5.59520467565591
ENSG00000114698	57088	PLSCR4	protein_coding	-7.90610102658129	-2.45584641647046	-7.72628062066905	2.92807832817029e-07	0.000883474433567179	5.50491903523377
ENSG00000184860	93517	SDR42E1	protein_coding	-7.11718578033453	-2.98636688553413	-7.7783455509978	2.65507348804971e-07	0.000883474433567179	5.48425440881761
ENSG00000170627	121355	GTSF1	protein_coding	2.62799569710702	4.30529093842543	6.96822357825901	1.26882640120169e-06	0.00184848316638829	5.41254291054861
ENSG00000145020	275	AMT	protein_coding	-1.89790377044204	4.40671283357487	-6.92364803881423	1.38643253766584e-06	0.00184848316638829	5.33116693742965
ENSG00000114405	57415	C3orf14	protein_coding	-6.2871410051647	-1.99503431184141	-7.54107770233	4.15968344068218e-07	0.00100406438891186	5.14838222838416
ENSG00000082397	23136	EPB41L3	protein_coding	-7.29459914000315	-1.94168633374257	-6.91521152243261	1.40993098559658e-06	0.00184848316638829	4.4038808296184
ENSG00000101938	91851	CHRDL1	protein_coding	-7.1408484543937	-2.73316505234154	-6.91567487841415	1.40862976118232e-06	0.00184848316638829	4.34997171029506
ENSG00000122824	170685	NUDT10	protein_coding	-8.49256056406976	-2.25321802668538	-6.87373393779849	1.53159596187612e-06	0.00184848316638829	4.33478633281708
ENSG00000046604	1829	DSG2	protein_coding	-8.54826764726354	-0.530803831589167	-6.63208337621403	2.49213691418032e-06	0.00210363239605689	4.1871242422935
ENSG00000169126	55130	ARMC4	protein_coding	-7.0579122264806	-2.49986052367243	-6.75512637741051	1.94308271784246e-06	0.00210363239605689	4.10978083497145
ENSG00000171033	5569	PKIA	protein_coding	-7.73428981308563	0.214951638355209	-6.46249305574549	3.52355448398477e-06	0.0025330971639665	4.05251897490708
ENSG00000147231	55086	CXorf57	protein_coding	-7.32293012539391	-2.16790485603282	-6.66433529925349	2.3342994589763e-06	0.00210363239605689	4.04061901297633
ENSG00000198088	54830	NUP62CL	protein_coding	-7.70842341047413	-2.48604475791901	-6.625839358568	2.52394645512359e-06	0.00210363239605689	3.98067205989001
ENSG00000153707	5789	PTPRD	protein_coding	-6.74818990465253	-2.476191299643	-6.60849811254928	2.61450707936476e-06	0.00210363239605689	3.92609208170828
ENSG00000176273	159371	SLC35G1	protein_coding	-6.54884700535032	-1.7373708631503	-6.4563846850898	3.56803809656396e-06	0.0025330971639665	3.73777835638142
ENSG00000162669	164045	HFM1	protein_coding	-6.41537121934494	-2.56291908944383	-6.39837981519383	4.02045312536476e-06	0.00269571382055707	3.57549678545982
ENSG00000102024	5358	PLS3	protein_coding	-7.31480372950338	-1.28963675298965	-6.2417072219709	5.56251812085035e-06	0.00349126970879794	3.56009130494518
ENSG00000198865	100129792	CCDC152	protein_coding	-6.51095366440553	0.0320775365221752	-6.03898075990534	8.50678309115615e-06	0.00445159126672882	3.51488219739457
ENSG00000107186	8777	MPDZ	protein_coding	-7.30594426739341	-2.53483607715008	-6.22284292663003	5.78551613024764e-06	0.00349126970879794	3.31408251085684
ENSG00000198189	51170	HSD17B11	protein_coding	1.70147092153066	7.29407102339508	6.01717944189378	8.90720977512098e-06	0.00445159126672882	3.24002324726433
ENSG00000104290	7976	FZD3	protein_coding	-6.58143384468276	0.801375592073111	-5.87659049234863	1.20000690441161e-05	0.00482762777644791	3.21322375346479
ENSG00000152556	5213	PFKM	protein_coding	-3.21275639002283	3.19255302613434	-5.78352700696256	1.4637001593942e-05	0.00519570506580252	3.18195085884887
ENSG00000066382	744	MPPED2	protein_coding	-6.5112316528936	-1.95714691001767	-6.11934022285798	7.18388265432282e-06	0.00394101271613737	3.17773832947475
ENSG00000110318	57562	CEP126	protein_coding	-6.57833774779319	-2.00559790784969	-6.12694657065457	7.07016567445789e-06	0.00394101271613737	3.17697410187133
ENSG00000067177	5255	PHKA1	protein_coding	-7.10744686422137	-1.18676205023918	-5.99835169189457	9.26860394196213e-06	0.00445159126672882	3.07653285491472
ENSG00000008311	10157	AASS	protein_coding	-6.19981514443482	-0.663728353679772	-5.84513301848283	1.28319560044507e-05	0.00499577022637792	3.03580236163954
ENSG00000076554	7163	TPD52	protein_coding	-3.48028552475082	3.82281983629937	-5.71408006869702	1.69873385333435e-05	0.00554108618267359	2.98687112854536
ENSG00000133138	54885	TBC1D8B	protein_coding	-5.74734863760118	-1.98895063489948	-5.9822327009339	9.58997207183274e-06	0.00445159126672882	2.96935935997266
ENSG00000136111	9882	TBC1D4	protein_coding	-5.32463752167858	0.555526071241482	-5.67117112842989	1.86298667947693e-05	0.00576522723964284	2.96051731986096
ENSG00000102245	959	CD40LG	protein_coding	-7.95872046024197	-1.9594294337478	-5.94775917608994	1.03162987483383e-05	0.0046113855405072	2.9414510398483
ENSG00000149054	7762	ZNF215	protein_coding	-6.53678906251979	-2.57095819131218	-5.9076394230283	1.12332292275712e-05	0.00482762777644791	2.82478172074426
ENSG00000212747	441518	RTL8B	protein_coding	-6.16851827452111	-2.07815370467848	-5.87770684780723	1.19715862523431e-05	0.00482762777644791	2.77026211439768
ENSG00000120156	7010	TEK	protein_coding	-7.44415865881392	-2.70505894641883	-5.79249454718054	1.43588413491368e-05	0.00519570506580252	2.66002074060165
ENSG00000184368	256714	MAP7D2	protein_coding	-6.56933447330898	-2.05102365449744	-5.75999292835813	1.53936031660349e-05	0.00529319932189095	2.62223159868109
ENSG00000139970	6252	RTN1	protein_coding	-7.97135122028832	-1.81870711438698	-5.74816766623246	1.57888122949767e-05	0.00529319932189095	2.61740187180697
ENSG00000171044	286046	XKR6	protein_coding	-6.2727303836208	-2.77807527551509	-5.81360554171371	1.37252287910704e-05	0.00517655582123216	2.60938357541991
ENSG00000168078	55872	PBK	protein_coding	-5.72862259259261	-0.750321395965149	-5.54837906157316	2.42904951230179e-05	0.00648875732550964	2.55004399753167
ENSG00000100504	5836	PYGL	protein_coding	1.75290345072262	7.29016347475645	5.69582552089616	1.76671572072245e-05	0.00561118211405244	2.54216440414989
ENSG00000182195	23641	LDOC1	protein_coding	-6.17021148186165	-1.40657186501643	-5.57893738918965	2.27347380124622e-05	0.00648875732550964	2.43225908776261
ENSG00000196549	4311	MME	protein_coding	-8.38589982318939	-2.70516973530652	-5.62640449330454	2.05177654236356e-05	0.00603972953409408	2.39722599750881
ENSG00000155962	1193	CLIC2	protein_coding	-4.32560184457262	1.77186911799692	-5.35594559974429	3.69407226559749e-05	0.00850402259316848	2.39700916982156
ENSG00000165626	222389	BEND7	protein_coding	-6.49319857550045	-1.84628509414516	-5.63475658750693	2.01512164616092e-05	0.00603972953409408	2.3756335645665
