ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000160299"	"PCNT"	chr21	+	46431528	46432215	46431528	46431978	46435903	46436148	0	18,24,0,54	8,18,0,6	71,60,55,26,84,56,73,20,29	20,15,1,0,11,10,30,12,0	311	74	1	1.0	0.349,0.241,NA,0.682	0.458,0.488,0.929,1.0,0.645,0.571,0.367,0.284,1.0	-0.214
1	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46222662	46222738	46221853	46221975	1	43,52,0,11	3,3,0,0	72,56,35,52,134,93,426,83,28	2,0,0,2,6,3,15,0,6	107	74	1	1.0	0.908,0.923,NA,1.0	0.961,1.0,1.0,0.947,0.939,0.955,0.952,1.0,0.763	-0.003
2	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282348	45282459	2	2,0,0,17	25,25,22,13	7,4,9,0,4,3,16,0,2	57,23,26,35,49,30,52,6,40	105	74	0.833095248847	1.0	0.053,0.0,0.0,0.48	0.08,0.109,0.196,0.0,0.054,0.066,0.178,0.0,0.034	0.054
3	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398	3	0,0,0,2	8,8,0,0	3,11,0,0,4,5,6,0,1	4,2,0,0,1,3,11,0,0	105	74	1	1.0	0.0,0.0,NA,1.0	0.346,0.795,NA,NA,0.738,0.54,0.278,NA,1.0	-0.283
4	"ENSG00000160255"	"ITGB2"	chr21	-	44892916	44895060	44894970	44895060	44889977	44890222	4	23,180,9,3	0,0,0,0	208,10,75,67,889,9,4,13,29	0,0,0,0,3,0,0,0,0	2128	74	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.912,1.0,1.0,1.0,1.0	0.01
5	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910372	5	20,40,1,0	240,469,49,25	23,6,3,21,127,2,0,7,0	675,70,616,291,1694,73,2,186,164	199	74	0.0068174422542	0.0636414847469	0.03,0.031,0.008,0.0	0.013,0.031,0.002,0.026,0.027,0.01,0.0,0.014,0.0	0.004
6	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910415	6	7,11,1,0	0,0,0,3	11,4,2,14,47,0,0,4,0	10,0,4,0,3,0,0,0,3	199	74	1	1.0	1.0,1.0,1.0,0.0	0.29,1.0,0.157,1.0,0.853,NA,NA,1.0,0.0	0.136
7	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44805616	44807040	7	37,21,22,15	1742,906,1104,665	50,34,44,10,66,2,35,59,67	1535,1508,2211,477,2768,309,1682,1252,1534	124	74	0.0481697650209	0.285104299758	0.013,0.014,0.012,0.013	0.019,0.013,0.012,0.012,0.014,0.004,0.012,0.027,0.025	-0.002
8	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44813975	44814104	44809046	44809118	8	19,23,4,47	1310,818,871,460	23,42,58,0,59,4,42,40,32	1237,1278,1801,382,2190,271,1307,1003,1190	188	74	0.562546033397	1.0	0.006,0.011,0.002,0.039	0.007,0.013,0.013,0.0,0.01,0.006,0.012,0.015,0.01	0.005
9	"ENSG00000160214"	"RRP1"	chr21	+	43789512	43789762	43789512	43789695	43791349	43791432	9	70,151,84,17	0,0,0,0	274,174,56,102,227,63,93,253,116	2,0,0,0,0,0,0,0,0	141	74	1	1.0	1.0,1.0,1.0,1.0	0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.002
10	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43732138	43732442	43734068	43734123	10	0,2,0,2	0,0,0,0	7,13,0,5,4,0,2,0,0	4,0,2,0,0,0,2,4,0	279	74	1	1.0	NA,1.0,NA,1.0	0.317,1.0,0.0,1.0,1.0,NA,0.21,0.0,NA	0.496
14	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288073	42287888	42288037	42288210	42288312	14	33,28,66,54	0,24,44,0	24,8,50,21,323,11,13,79,152	17,4,0,37,230,10,3,19,0	110	74	0.267173364866	1.0	1.0,0.44,0.502,1.0	0.487,0.574,1.0,0.276,0.486,0.425,0.745,0.737,1.0	0.099
18	"ENSG00000183486"	"MX2"	chr21	+	41363268	41363416	41363268	41363389	41364403	41364666	18	0,0,0,0	0,1,0,0	0,0,0,0,0,4,0,0,0	0,0,0,0,0,0,0,0,0	101	74	1	1.0	NA,0.0,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA	-1.0
20	"ENSG00000182240"	"BACE2"	chr21	+	41241818	41241947	41241818	41241939	41243375	41243510	20	0,0,3,0	0,0,44,0	2,8,8,4,0,0,45,9,0	0,0,0,0,0,0,21,0,0	82	74	1	1.0	NA,NA,0.058,NA	1.0,1.0,1.0,1.0,NA,NA,0.659,1.0,NA	-0.885
22	"ENSG00000182093"	"WRB"	chr21	+	39390697	39391476	39390697	39390863	39391768	39391836	22	18,33,0,2	74,139,125,40	15,18,4,2,101,40,228,30,171	239,355,92,145,374,240,582,128,62	687	74	0.0049372198915	0.0501587425829	0.026,0.025,0.0,0.005	0.007,0.005,0.005,0.001,0.028,0.018,0.04,0.025,0.229	-0.026
23	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39347292	39347246	39347292	39345145	39345274	23	2273,2405,4947,3479	11,39,0,4	4327,2912,2400,1842,3048,2741,10862,1612,2700	31,25,10,13,24,5,40,4,0	1491	74	0.303199022822	1.0	0.911,0.754,1.0,0.977	0.874,0.853,0.923,0.876,0.863,0.965,0.931,0.952,1.0	-0.005
24	"ENSG00000205581"	"HMGN1"	chr21	-	39348421	39348577	39348544	39348577	39348291	39348339	24	1855,2103,1716,1857	0,2,0,22	4201,4188,3030,1353,3428,2178,3986,2678,1824	2,11,2,0,5,0,11,0,0	197	74	0.612213142582	1.0	1.0,0.997,1.0,0.969	0.999,0.993,0.998,1.0,0.996,1.0,0.993,1.0,1.0	-0.006
25	"ENSG00000185658"	"BRWD1"	chr21	-	39255644	39255828	39255664	39255828	39247700	39247832	25	6,7,15,21	0,0,0,0	15,12,8,16,32,2,29,13,6	0,0,0,0,0,0,2,0,0	94	74	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.919,1.0,1.0	0.009
26	"ENSG00000185658"	"BRWD1"	chr21	-	39255644	39255828	39255664	39255828	39250795	39250889	26	45,80,83,63	0,1,0,0	119,78,42,117,219,57,172,79,46	6,0,4,13,21,0,14,0,10	94	74	1.31977631046e-08	1.39711520225e-06	1.0,0.984,1.0,1.0	0.94,1.0,0.892,0.876,0.891,1.0,0.906,1.0,0.784	0.075
27	"ENSG00000185658"	"BRWD1"	chr21	-	39264890	39265019	39264985	39265019	39264459	39264564	27	47,79,56,18	0,0,0,0	69,62,17,72,175,51,126,72,59	0,0,0,0,0,0,5,0,0	169	74	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.917,1.0,1.0	0.009
28	"ENSG00000185658"	"BRWD1"	chr21	-	39264890	39265019	39264985	39265019	39264459	39264685	28	122,150,153,42	0,0,0,0	159,143,68,217,419,131,319,153,123	1,2,0,3,4,0,10,0,0	169	74	0.307756438914	1.0	1.0,1.0,1.0,1.0	0.986,0.969,1.0,0.969,0.979,1.0,0.933,1.0,1.0	0.018
