Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
DNAJC6,,chaperonin/heat shock,"DnaJ (Hsp40) homolog, subfamily C, member 6","DnaJ (Hsp40) homolog, subfamily B, member 6, auxilin, dnaJ homolog subfamily C member 6, putative tyrosine-protein phosphatase auxilin",H. sapiens,ENSG00000116675,99997,"C2 tensin-type, J, Phosphatase tensin-type",SH3-binding,9829,"DnaJ (Hsp40) homolog, subfamily C, member 6",AUXI_HUMAN,"O75061, D3DQ65, Q32M66, Q4G0K1, Q5T614",,"Poly-Gly, Pro-rich"
HSPA2,,chaperonin/heat shock,heat shock 70kDa protein 2,"heat shock 70kD protein 2, heat shock-related 70 kDa protein 2",H. sapiens,ENSG00000126803,70021,,,3306,heat shock 70kDa protein 2,HSP72_HUMAN,"P54652, Q15508, Q53XM3, Q9UE78",3I33,
HSPA4,,chaperonin/heat shock,heat shock 70kDa protein 4,"heat shock 70 kDa protein 4, heat shock 70-related protein APG-2, heat shock 70kD protein 4, heat shock protein, 110 kDa, hsp70 RY",H. sapiens,ENSG00000170606,94331,,,3308,heat shock 70kDa protein 4,HSP74_HUMAN,"P34932, O95756, Q2TAL4",,
HSPA5,,chaperonin/heat shock,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)","78 kDa glucose-regulated protein, endoplasmic reticulum lumenal Ca(2+)-binding protein grp78, immunoglobulin heavy chain-binding protein",H. sapiens,ENSG00000044574,72333,,Prevents secretion from ER,3309,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)",GRP78_HUMAN,"P11021, B0QZ61, Q2EF78, Q9NPF1, Q9UK02","3IUC, 3LDL, 3LDN, 3LDO, 3LDP",
DNAJC17,,chaperonin/heat shock,"DnaJ (Hsp40) homolog, subfamily C, member 17",dnaJ homolog subfamily C member 17,H. sapiens,ENSG00000104129,34687,"J, RRM",,55192,"DnaJ (Hsp40) homolog, subfamily C, member 17",DJC17_HUMAN,Q9NVM6,2D9O,Poly-Glu
DNAJC8,,chaperonin/heat shock,"DnaJ (Hsp40) homolog, subfamily C, member 8","dnaJ homolog subfamily C member 8, splicing protein spf31",H. sapiens,ENSG00000126698,29842,J,,22826,"DnaJ (Hsp40) homolog, subfamily C, member 8",DNJC8_HUMAN,"O75937, B4DUU4, D3DPM0, Q6IBA4, Q8N4Z5",,
DNAJC13,,chaperonin/heat shock,"DnaJ (Hsp40) homolog, subfamily C, member 13","DnaJ domain-containing protein RME-8, RME-8, dnaJ homolog subfamily C member 13, required for receptor-mediated endocytosis 8",H. sapiens,ENSG00000138246,254415,J,,23317,"DnaJ (Hsp40) homolog, subfamily C, member 13",DJC13_HUMAN,"O75165, Q3L0T1, Q6PI82, Q6UJ77, Q6ZSW1",,
DNAJB1,,chaperonin/heat shock,"DnaJ (Hsp40) homolog, subfamily B, member 1","DnaJ (Hsp40) homolog, subfmaily B, member 1, dnaJ homolog subfamily B member 1, dnaJ protein homolog 1, hDj-1, heat shock 40 kDa protein 1",H. sapiens,ENSG00000132002,38044,J,,3337,"DnaJ (Hsp40) homolog, subfamily B, member 1",DNJB1_HUMAN,P25685,"1HDJ, 2QLD, 3AGX, 3AGY, 3AGZ",
HSPB1,,chaperonin/heat shock,heat shock 27kDa protein 1,"28 kDa heat shock protein, HSP 27, estrogen-regulated 24 kDa protein, heat shock 27 kDa protein, heat shock 27kD protein 1",H. sapiens,ENSG00000106211,22783,,,3315,heat shock 27kDa protein 1,HSPB1_HUMAN,"P04792, B2R4N8, Q6FI47, Q96C20, Q96EI7","3Q9P, 3Q9Q",
HSPD1,,chaperonin/heat shock,heat shock 60kDa protein 1 (chaperonin),"60 kDa chaperonin, 60 kDa heat shock protein, mitochondrial, P60 lymphocyte protein, chaperonin 60, heat shock protein 65",H. sapiens,ENSG00000144381,61055,,,3329,heat shock 60kDa protein 1 (chaperonin),CH60_HUMAN,"P10809, B2R5M6, Q38L19, Q9UCR6",,
