EventID	geneSymbol	Start1	End1	RI
1_BTN2A2	BTN2A2	26383792	26383915	N
 2_BTN2A2	BTN2A2	26383792	26383915	N
 4_EMID1	EMID1	29215527	29215630	N
 2_EML4	EML4	42264706	42264731	N
 1_GYGYF2	GYGYF2	232697305	232697392	N
 3_GYGYF2	GYGYF2	232724574	232724691	N
 1_PLEKH2M	PLEKH2M	15728079	15728148	N
 1_SCARB2	SCARB2	124786357	124786503	N
 2_SCARB1	SCARB1	124786441	124786503	N
 2_SLMAP	SLMAP	57864807	57864857	N
 2_SPHK2	SPHK2	48628162	48628277	N
 1_SPKH2	SPKH2	48624969	48626362	N
 1_SUN1	SUN1	848418	848615	N
 1_ZNF708	ZNF708	21329210	21329425	N
 1_IRAK4	IRAK4	43768103	43768272	N
 3_LRRFIP2	LRRFIP2	37174539	37174605	N
 5_MFF	MFF	227340292	227340380	N
 3_MGRN1	MGRN1	4683843	4683932	N
 1_NEK3	NEK3	52143915	52143980	N
