EventID	geneSymbol	Start1	End1	RI
3_ADAM15	ADAM15	155060763	155060832	N
 15_ADAM15	ADAM15	155060763	155060832	N
 1_ADD3	ADD3	110130363	110130486	N
 1_AP1G1	AP1G1	71773221	71773362	N
 4_CD47	CD47	108051939	108051970	N
 2_CD47	CD47	108057477	108057569	N
 2_EPB41	EPB41	28993330	28993542	N
1_ GOLGA4	 GOLGA4	37273536	37273601	N
 6_MAP4K4	MAP4K4	101882551	101882685	N
 5_ MAP4K4	 MAP4K4	101882551	101882685	N
 4_ MAP4K4	 MAP4K4	101859643	101859864	N
 3_ MAP4K4	 MAP4K4	101844101	101844311	N
 1_ MAP4K4	 MAP4K4	101834409	101834463	N
 3_RABGAP1L	RABGAP1L	174811832	174811960	N
1_WNK1	WNK1	878212	878361	N
