Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
PSMB1,,proteosome,"proteasome (prosome, macropain) subunit, beta type, 1","macropain subunit C5, multicatalytic endopeptidase complex subunit C5, proteasome beta 1 subunit, proteasome component C5, proteasome gamma chain",H. sapiens,ENSG00000008018,26489,,,5689,"proteasome (prosome, macropain) subunit, beta type, 1",PSB1_HUMAN,"P20618, B5BU76, Q9BWA8",,
PSMA3,,proteosome,"proteasome (prosome, macropain) subunit, alpha type, 3","macropain subunit C8, multicatalytic endopeptidase complex subunit C8, proteasome component C8, proteasome subunit C8, proteasome subunit alpha type-3",H. sapiens,ENSG00000100567,28433,,,5684,"proteasome (prosome, macropain) subunit, alpha type, 3",PSA3_HUMAN,"P25788, B2RCK6, Q86U83, Q8N1D8, Q9BS70",,
PSMC1,,proteosome,"proteasome (prosome, macropain) 26S subunit, ATPase, 1","26S protease regulatory subunit 4, 26S proteasome AAA-ATPase subunit RPT2, proteasome 26S ATPase subunit 1, proteasome 26S subunit ATPase 1, proteasome 26S subunit, ATPase, 1",H. sapiens,ENSG00000100764,49185,,,5700,"proteasome (prosome, macropain) 26S subunit, ATPase, 1",PRS4_HUMAN,"P62191, P49014, Q03527, Q6IAW0, Q96AZ3",,
PSMA6,,proteosome,"proteasome (prosome, macropain) subunit, alpha type, 6","27 kDa prosomal protein, PROS-27, macropain iota chain, macropain subunit iota, multicatalytic endopeptidase complex iota chain",H. sapiens,ENSG00000100902,27399,,,5687,"proteasome (prosome, macropain) subunit, alpha type, 6",PSA6_HUMAN,"P60900, B2R7J9, P34062, Q6IB60",,
PSMD7,,proteosome,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 7","26S proteasome non-ATPase regulatory subunit 7, 26S proteasome regulatory subunit S12, 26S proteasome regulatory subunit rpn8, Moloney leukemia virus-34 proviral integration, Mov34 homolog",H. sapiens,ENSG00000103035,37025,MPN,,5713,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 7",PSD7_HUMAN,"P51665, D3DWS9, Q6PKI2, Q96E97","2O95, 2O96",Glu/Lys-rich
PSMD3,,proteosome,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 3","26S proteasome non-ATPase regulatory subunit 3, 26S proteasome regulatory subunit RPN3, 26S proteasome regulatory subunit S3, proteasome subunit p58, tissue specific transplantation antigen 2",H. sapiens,ENSG00000108344,60978,PCI,,5709,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 3",PSMD3_HUMAN,"O43242, B3KMW9, Q96EI2, Q9BQA4",,Poly-Pro
PSMD11,,proteosome,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11","26S proteasome non-ATPase regulatory subunit 11, 26S proteasome regulatory subunit 9, 26S proteasome regulatory subunit RPN6, 26S proteasome regulatory subunit S9, 26S proteasome regulatory subunit p44.5",H. sapiens,ENSG00000108671,47464,PCI,,5717,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11",PSD11_HUMAN,"O00231, A8K3I7, E1P663, O00495",,
PSMB2,,proteosome,"proteasome (prosome, macropain) subunit, beta type, 2","macropain subunit C7-I, multicatalytic endopeptidase complex subunit C7-1, multicatalytic endopeptidase complex subunit C7-I, proteasome beta 2 subunit, proteasome component C7-I",H. sapiens,ENSG00000126067,22836,,,5690,"proteasome (prosome, macropain) subunit, beta type, 2",PSB2_HUMAN,"P49721, D3DPS0, P31145, Q9BWZ9",,
PSME3,,proteosome,"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)","11S regulator complex gamma subunit, 11S regulator complex subunit gamma, Ki antigen, Ki nuclear autoantigen, activator of multicatalytic protease subunit 3",H. sapiens,ENSG00000131467,29506,,,10197,"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)",PSME3_HUMAN,"P61289, A8K9A3, O35563, P97373, Q12920",,
PSMC3,,proteosome,"proteasome (prosome, macropain) 26S subunit, ATPase, 3","26S protease regulatory subunit 6A, 26S proteasome AAA-ATPase subunit RPT5, TBP-1, Tat-binding protein 1, human immunodeficiency virus tat transactivator binding protein-1",H. sapiens,ENSG00000165916,49204,,,5702,"proteasome (prosome, macropain) 26S subunit, ATPase, 3",PRS6A_HUMAN,"P17980, B2R8V1, Q3B757, Q3B865, Q53HU5",,
