Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
SNRPB,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptides B and B1,"B polypeptide of Sm protein, Sm protein B/B', sm-B/Sm-B', small nuclear ribonucleoprotein polypeptide B, small nuclear ribonucleoprotein polypeptides B and B'",H. sapiens,ENSG00000125835,24610,,,6628,small nuclear ribonucleoprotein polypeptides B and B1,RSMB_HUMAN,"P14678, Q15490, Q6IB35, Q9UIS5","1D3B, 2Y9A, 2Y9B, 2Y9C, 2Y9D",
SNRPD1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein D1 polypeptide 16kDa,"Sm-D autoantigen, small nuclear ribonucleoprotein D1 polypeptide 16kDa pseudogene, small nuclear ribonucleoprotein Sm D1, snRNP core protein D1",H. sapiens,ENSG00000167088,13282,,,6632,small nuclear ribonucleoprotein D1 polypeptide 16kDa,SMD1_HUMAN,"P62314, B5BTZ1, P13641","1B34, 2Y9A, 2Y9B, 2Y9C, 2Y9D",Arg/Lys-rich (basic)
SNRPD2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein D2 polypeptide 16.5kDa,"small nuclear ribonucleoprotein Sm D2, snRNP core protein D2",H. sapiens,ENSG00000125743,13527,,,6633,small nuclear ribonucleoprotein D2 polypeptide 16.5kDa,SMD2_HUMAN,"P62316, A8K797, P43330","1B34, 2Y9A, 2Y9B, 2Y9C, 2Y9D",
SNRPD3,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein D3 polypeptide 18kDa,"small nuclear ribonucleoprotein Sm D3, small nuclear ribonucleoprotein polypeptide D3, snRNP core protein D3",H. sapiens,ENSG00000100028,13916,,,6634,small nuclear ribonucleoprotein D3 polypeptide 18kDa,SMD3_HUMAN,"P62318, B5BU13, P43331","1D3B, 2Y9A, 2Y9B, 2Y9C, 2Y9D",Arg/Lys-rich (basic)
SNRPE,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptide E,"sm protein E, small nuclear ribonucleoprotein E, snRNP-E",H. sapiens,ENSG00000182004,10804,,,6635,small nuclear ribonucleoprotein polypeptide E,RUXE_HUMAN,"P62304, B2R5B9, P08578, Q15498, Q5BKT2","2Y9A, 2Y9B, 2Y9C, 2Y9D, 3CW1",
SNRPF,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptide F,"sm protein F, small nuclear ribonucleoprotein F",H. sapiens,ENSG00000139343,9725,,,6636,small nuclear ribonucleoprotein polypeptide F,RUXF_HUMAN,"P62306, A2VCR2, B2R498, Q15356, Q6IBQ1","2Y9A, 2Y9B, 2Y9C, 2Y9D, 3CW1",
SNRPG,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptide G,"sm protein G, small nuclear ribonucleoprotein G, snRNP-G",H. sapiens,ENSG00000143977,8496,,,6637,small nuclear ribonucleoprotein polypeptide G,RUXG_HUMAN,"P62308, D6W5G6, Q15357, Q6IB86","2Y9A, 2Y9B, 2Y9C, 2Y9D, 3CW1",
RNU4-1,"B complex, U4/U6 snRNP, tri-snRNP",U4/U6 snRNP,"RNA, U4 small nuclear 1",,H. sapiens,ENSG00000200795,46792,,,26835,"RNA, U4 small nuclear 1",,,,
RNU6-1,"B complex, Bact complex, C complex, U4/U6 snRNP, tri-snRNP, P complex",U4/U6 snRNP,"RNA, U6 small nuclear 1",,H. sapiens,ENSG00000206625,34512,,,26827,"RNA, U6 small nuclear 1",,,,
PRPF4,"B complex, U4/U6 snRNP, tri-snRNP",U4/U6 snRNP,PRP4 pre-mRNA processing factor 4 homolog (yeast),"PRP4 homolog, PRP4/STK/WD splicing factor, U4/U6 small nuclear ribonucleoprotein Prp4, U4/U6 snRNP 60 kDa protein, WD splicing factor Prp4",H. sapiens,ENSG00000136875,58449,,,9128,PRP4 pre-mRNA processing factor 4 homolog (yeast),PRP4_HUMAN,"O43172, O43445, O43864, Q5T1M8, Q96DG2",1MZW,
PRPF3,"B complex, U4/U6 snRNP, tri-snRNP",U4/U6 snRNP,PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae),"U4/U6 small nuclear ribonucleoprotein Prp3, U4/U6 snRNP 90 kDa protein, U4/U6-associated RNA splicing factor, pre-mRNA-splicing factor 3",H. sapiens,ENSG00000117360,77529,PWI,,9129,PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae),PRPF3_HUMAN,"O43395, O43446, Q5VT54",1X4Q,Poly-Val
PPIH,"B complex, U4/U6 snRNP, tri-snRNP",U4/U6 snRNP,peptidylprolyl isomerase H (cyclophilin H),"PPIase h, U-snRNP-associated cyclophilin SnuCyp-20, U-snRNP-associated cyclophilin SunCyp-20, USA-CyP SnuCyp-20, cyclophilin H",H. sapiens,ENSG00000171960,19208,PPIase cyclophilin-type,,10465,peptidylprolyl isomerase H (cyclophilin H),PPIH_HUMAN,O43447,"1MZW, 1QOI",
PRPF31,"B complex, U4/U6 snRNP, tri-snRNP",U4/U6 snRNP,PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae),"U4/U6 small nuclear ribonucleoprotein Prp31, U4/U6 snRNP 61 kDa protein, hPrp31, pre-mRNA-processing factor 31, protein 61K",H. sapiens,ENSG00000105618,55456,Nop,,26121,PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae),PRP31_HUMAN,"Q8WWY3, Q17RB4, Q8N7F9, Q9H271, Q9Y439","2OZB, 3SIU, 3SIV",Poly-Glu
