Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
SYF2,"C complex, P complex",Recruited at C complex,"SYF2 homolog, RNA splicing factor (S. cerevisiae)","CCNDBP1 interactor, CCNDBP1-interactor, GCIP-interacting protein p29, functional spliceosome-associated protein 29, pre-mRNA-splicing factor SYF2",H. sapiens,ENSG00000117614,28722,,,25949,"SYF2 homolog, RNA splicing factor (S. cerevisiae)",SYF2_HUMAN,"O95926, Q5TH73",,
DDX41,"C complex, P complex",Recruited at C complex,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41,"2900024F02Rik, DEAD box protein 41, DEAD box protein abstrakt homolog, DEAD-box protein abstrakt, probable ATP-dependent RNA helicase DDX41",H. sapiens,ENSG00000183258,69838,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",51428,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41,DDX41_HUMAN,"Q9UJV9, B2RDC8, Q96BK6, Q96K05, Q9NT96",2P6N,
CXorf56,"C complex, P complex",Recruited at C complex,chromosome X open reading frame 56,UPF0428 protein CXorf56,H. sapiens,ENSG00000018610,25625,,,63932,chromosome X open reading frame 56,CX056_HUMAN,"Q9H5V9, D3DWH9, O43351",,
DGCR14,"C complex, P complex",Recruited at C complex,DiGeorge syndrome critical region gene 14,"DiGeorge syndrome critical region gene 13, DiGeorge syndrome critical region gene DGSI, DiGeorge syndrome gene H, DiGeorge syndrome gene I, Protein DGCR13",H. sapiens,ENSG00000100056,52568,,,8220,DiGeorge syndrome critical region gene 14,DGC14_HUMAN,"Q96DF8, Q49AH7, Q9BTZ4",,
C9orf78,"C complex, P complex",Recruited at C complex,chromosome 9 open reading frame 78,"hepatocellular carcinoma-associated antigen 59, uncharacterized protein C9orf78",H. sapiens,ENSG00000136819,33688,,,51759,chromosome 9 open reading frame 78,CI078_HUMAN,"Q9NZ63, B3KPX8, Q8WVU6, Q9NT39",,
PPIL3,"C complex, P complex",Recruited at C complex,peptidylprolyl isomerase (cyclophilin)-like 3,"PPIase, PPIase-like protein 3, cyclophilin J, cyclophilin-like protein 3, cyclophilin-like protein PPIL3",H. sapiens,ENSG00000240344,18155,PPIase cyclophilin-type,,53938,peptidylprolyl isomerase (cyclophilin)-like 3,PPIL3_HUMAN,"Q9H2H8, Q86WF9, Q96IA9, Q9BXZ1","1XYH, 2OJU, 2OK3",
PPWD1,"C complex, P complex",Recruited at C complex,peptidylprolyl isomerase domain and WD repeat containing 1,"peptidylprolyl isomerase domain and WD repeat-containing protein 1, spliceosome-associated cyclophilin",H. sapiens,ENSG00000113593,73575,PPIase cyclophilin-type,,23398,peptidylprolyl isomerase domain and WD repeat containing 1,PPWD1_HUMAN,"Q96BP3, Q15002, Q7KZ89",2A2N,Poly-Arg
DHX35,C complex,Recruited at C complex,DEAH (Asp-Glu-Ala-His) box polypeptide 35,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 35, DEAH box protein 35, DEAH-box protein 35, probable ATP-dependent RNA helicase DHX35",H. sapiens,ENSG00000101452,78910,"Helicase ATP-binding, Helicase C-terminal",DEAH box,60625,DEAH (Asp-Glu-Ala-His) box polypeptide 35,DHX35_HUMAN,"Q9H5Z1, A2RTX3, Q5THR0, Q9H4H7, Q9H6T6",,
CACTIN,"C complex, P complex",Recruited at C complex,"cactin, spliceosome C complex subunit","NY REN 24 antigen, NY-REN-24 antigen, cactin homolog, functional spliceosome-associated protein c, renal carcinoma antigen NY-REN-24",H. sapiens,ENSG00000105298,88702,,,58509,chromosome 19 open reading frame 29,CS029_HUMAN,"Q8WUQ7, A6NNA9, A9UL12, O75229, Q7LE08",,"Poly-Ala, Poly-Arg"
NOSIP,"C complex, P complex",Recruited at C complex,nitric oxide synthase interacting protein,"eNOS interacting protein, eNOS-interacting protein, nitric oxide synthase-interacting protein",H. sapiens,ENSG00000142546,33172,,Nuclear localization signal,51070,nitric oxide synthase interacting protein,NOSIP_HUMAN,"Q9Y314, Q96FD2",,
WDR83,"C complex, P complex",Recruited at C complex,WD repeat domain 83,"MAPK organizer 1, WD repeat domain-containing protein 83, mitogen-activated protein kinase organizer 1",H. sapiens,ENSG00000123154,34343,,,84292,WD repeat domain 83,WDR83_HUMAN,"Q9BRX9, B2RAF1, Q53FT6",,
FAM50A,"C complex, P complex",Recruited at C complex,"family with sequence similarity 50, member A","protein FAM50A, protein XAP-5",H. sapiens,ENSG00000071859,40242,,Nuclear localization signal,9130,"family with sequence similarity 50, member A",FA50A_HUMAN,"Q14320, A8KAQ4, B2R997, Q5HY37",,
PPIG,"C complex, P complex",Recruited at C complex,peptidylprolyl isomerase G (cyclophilin G),"CARS-cyclophilin, CASP10, Clk-associating RS-cyclophilin, PPIase G, SR-cyclophilin",H. sapiens,ENSG00000138398,88617,PPIase cyclophilin-type,,9360,peptidylprolyl isomerase G (cyclophilin G),PPIG_HUMAN,"Q13427, D3DPC5, D3DPC6, O00706, Q53R40","2GW2, 2WFI, 2WFJ","Arg/Lys-rich (basic), Arg/Ser-rich (RS domain), Asp/Glu/Ser-rich, Poly-Arg, Poly-Ser"
SDE2,"C complex, P complex",Recruited at C complex,SDE2 telomere maintenance homolog,Sde2 UPF0667 protein C1orf55,H. sapiens,ENSG00000143751,49742,,,163859,SDE2 telomere maintenance homolog,SDE2_HUMAN,"Q6IQ49, A8K4P3, Q5TD36, Q6ZS26, Q8NAG7",,
CDK10,"C complex, P complex",Recruited at C complex,cyclin-dependent kinase 10,"CDC2-related protein kinase, cell division protein kinase 10, cyclin-dependent kinase (CDC2-like) 10, cyclin-dependent kinase 10, cyclin-dependent kinase related protein",H. sapiens,ENSG00000185324,41038,Protein kinase,,8558,cyclin-dependent kinase 10,CDK10_HUMAN,"Q15131, A8MXU6, B7Z420, D3DX82, D3DX83",,
LENG1,"C complex, P complex",Recruited at C complex,leukocyte receptor cluster (LRC) member 1,leukocyte receptor cluster member 1,H. sapiens,ENSG00000105617,30529,,,79165,leukocyte receptor cluster (LRC) member 1,LENG1_HUMAN,"Q96BZ8, Q9HCU7",,
FAM32A,"C complex, P complex",Recruited at C complex,"family with sequence similarity 32, member A","ovarian tumor associated gene-12, protein FAM32A",H. sapiens,ENSG00000105058,13178,,,26017,"family with sequence similarity 32, member A",FA32A_HUMAN,"Q9Y421, Q9BT02",,Lys-rich
FRA10AC1,"C complex, P complex",Recruited at C complex,"fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1","fragile site 10q23.3, protein FRA10AC1, rare folic acid-type fragile site, FRA(10)(q23.3), candidate gene 1",H. sapiens,ENSG00000148690,37548,,,118924,"fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1",F10C1_HUMAN,"Q70Z53, C9JCR4, C9JCR5, C9JMY4, Q70Z49",,Lys-rich
