Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
EIF4A1,,translation-related,eukaryotic translation initiation factor 4A1,"ATP-dependent RNA helicase eIF4A-1, eukaryotic initiation factor 4A-I, eukaryotic initiation factor 4AI, eukaryotic translation initiation factor 4A, isoform 1",H. sapiens,ENSG00000161960,46154,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",1973,eukaryotic translation initiation factor 4A1,IF4A1_HUMAN,"P60842, B2R6L8, D3DTP9, P04765, Q5U018","2G9N, 2ZU6, 3EIQ",
EIF3L,,translation-related,"eukaryotic translation initiation factor 3, subunit L","eIEF associated protein HSPC021, eukaryotic translation initiation factor 3 subunit 6-interacting protein, eukaryotic translation initiation factor 3 subunit E-interacting protein, eukaryotic translation initiation factor 3 subunit L",H. sapiens,ENSG00000100129,66727,,,51386,"eukaryotic translation initiation factor 3, subunit L",EIF3L_HUMAN,"Q9Y262, B2RDG6, Q53HQ1, Q53HT4, Q5QTR1",,
EEF1A2,,translation-related,eukaryotic translation elongation factor 1 alpha 2,"eEF1A-2, elongation factor 1-alpha 2, elongation factor-1 alpha, eukaryotic elongation factor 1 A-2, statin S1",H. sapiens,ENSG00000101210,50470,,,1917,eukaryotic translation elongation factor 1 alpha 2,EF1A2_HUMAN,"Q05639, B5BUF3, E1P5J1, P54266, Q0VGC7",3C5J,
EIF4A2,,translation-related,eukaryotic translation initiation factor 4A2,"ATP-dependent RNA helicase eIF4A-2, eukaryotic initiation factor 4A-II, eukaryotic translation initiation factor 4A, isoform 2",H. sapiens,ENSG00000156976,46402,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",1974,eukaryotic translation initiation factor 4A2,IF4A2_HUMAN,"Q14240, D3DNU9, Q53XJ6, Q96B90, Q96EA8",3BOR,
EIF2C1,,translation-related,"eukaryotic translation initiation factor 2C, 1","Golgi Endoplasmic Reticulum protein 95 kDa, argonaute 1, argonaute1, eIF-2C 1, eIF2C 1",H. sapiens,ENSG00000092847,97214,"PAZ, Piwi",,26523,"eukaryotic translation initiation factor 2C, 1",AGO1_HUMAN,"Q9UL18, Q5TA57, Q6P4S0","1SI2, 1SI3",
EIF3E,,translation-related,"eukaryotic translation initiation factor 3, subunit E","eIF-3 p48, eukaryotic translation initiation factor 3 subunit 6, eukaryotic translation initiation factor 3 subunit E, eukaryotic translation initiation factor 3, subunit 6 (48kD), eukaryotic translation initiation factor 3, subunit 6 48kDa",H. sapiens,ENSG00000104408,52221,PCI,,3646,"eukaryotic translation initiation factor 3, subunit E",EIF3E_HUMAN,"P60228, O43902, Q64058, Q64059, Q64252",,
EIF3H,,translation-related,"eukaryotic translation initiation factor 3, subunit H","eIF-3-gamma, eIF3 p40 subunit, eukaryotic translation initiation factor 3 subunit 3, eukaryotic translation initiation factor 3 subunit H, eukaryotic translation initiation factor 3, subunit 2 (beta, 36kD)",H. sapiens,ENSG00000147677,39930,MPN,,8667,"eukaryotic translation initiation factor 3, subunit H",EIF3H_HUMAN,O15372,,
EIF3B,,translation-related,"eukaryotic translation initiation factor 3, subunit B","eIF-3-eta, eIF3 p110, eIF3 p116, eukaryotic translation initiation factor 3 subunit 9, eukaryotic translation initiation factor 3 subunit B",H. sapiens,ENSG00000106263,92482,RRM,,8662,"eukaryotic translation initiation factor 3, subunit B",EIF3B_HUMAN,"P55884, A4D208, Q2NL77, Q9UMF9","2KRB, 2NLW",
EIF3A,,translation-related,"eukaryotic translation initiation factor 3, subunit A","EIF3, p180 subunit, centrosomin homolog, cytoplasmic protein p167, eIF-3-theta, eIF3 p167",H. sapiens,ENSG00000107581,166569,PCI,,8661,"eukaryotic translation initiation factor 3, subunit A",EIF3A_HUMAN,"Q14152, B1AMV5, O00653, Q15778",,"Asp-rich, Glu-rich"
EIF2B5,,translation-related,"eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa","eIF-2B GDP-GTP exchange factor subunit epsilon, translation initiation factor eIF-2B subunit epsilon",H. sapiens,ENSG00000145191,80380,W2,,8893,"eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa",EI2BE_HUMAN,"Q13144, Q541Z1, Q96D04",3JUI,Poly-Glu
SRP19,,translation-related,signal recognition particle 19kDa,signal recognition particle 19 kDa protein,H. sapiens,ENSG00000153037,16156,,,6728,signal recognition particle 19kDa,SRP19_HUMAN,"P09132, B2R4E9, Q05D77, Q96FG6","1JID, 1MFQ, 1RY1, 2J37, 3KTV",
KARS,,translation-related,lysyl-tRNA synthetase,"lysRS, lysine tRNA ligase, lysine--tRNA ligase",H. sapiens,ENSG00000065427,68048,,,3735,lysyl-tRNA synthetase,SYK_HUMAN,"Q15046, A8MSK1, D3DUK4, O14946, Q96J25",3BJU,
EEF1E1,,translation-related,eukaryotic translation elongation factor 1 epsilon 1,"ARS-interacting multifunctional protein 3, aminoacyl tRNA synthetase complex-interacting multifunctional protein 3, eukaryotic translation elongation factor 1 epsilon-1, multisynthase complex auxiliary component p18, p18 component of aminoacyl-tRNA synthetase complex",H. sapiens,ENSG00000124802,19811,GST C-terminal,,9521,eukaryotic translation elongation factor 1 epsilon 1,MCA3_HUMAN,"O43324, Q5THS2",2UZ8,
QARS,,translation-related,glutaminyl-tRNA synthetase,"glutamine tRNA ligase, glutamine--tRNA ligase, glutamine-tRNA synthetase",H. sapiens,ENSG00000172053,87799,,"""HIGH"" region, ""KMSKS"" region",5859,glutaminyl-tRNA synthetase,SYQ_HUMAN,P47897,,
FARSA,,translation-related,"phenylalanyl-tRNA synthetase, alpha subunit","pheRS, phenylalanine tRNA ligase 1, alpha, cytoplasmic, phenylalanine--tRNA ligase alpha chain, phenylalanine--tRNA ligase alpha subunit, phenylalanine-tRNA synthetase alpha-subunit",H. sapiens,ENSG00000179115,57564,,,2193,"phenylalanyl-tRNA synthetase, alpha subunit",SYFA_HUMAN,"Q9Y285, Q9NSD8, Q9Y4W8",3L4G,
IARS,,translation-related,isoleucyl-tRNA synthetase,"isoleucine tRNA ligase 1, cytoplasmic, isoleucine--tRNA ligase, cytoplasmic, isoleucyl-tRNA synthetase, cytoplasmic",H. sapiens,ENSG00000196305,144498,,"""HIGH"" region, ""KMSKS"" region",3376,isoleucyl-tRNA synthetase,SYIC_HUMAN,"P41252, A8KAE9, Q5TCD0, Q7Z3T4, Q9H588",,
VARS,,translation-related,valyl-tRNA synthetase,"protein G7a, valRS, valine tRNA ligase 1, cytoplasmic, valine--tRNA ligase, valyl-tRNA synthetase 2",H. sapiens,ENSG00000204394,140476,GST C-terminal,"""HIGH"" region, ""KMSKS"" region",7407,valyl-tRNA synthetase,SYVC_HUMAN,"P26640, B0V1N1, Q5JQ90, Q96E77, Q9UQM2",,
EIF2B4,,translation-related,"eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa","eIF-2B GDP-GTP exchange factor subunit delta, translation initiation factor eIF-2B subunit delta, translation initiation factor eIF-2b delta subunit",H. sapiens,ENSG00000115211,57557,,,8890,"eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa",EI2BD_HUMAN,"Q9UI10, Q53RY7, Q5BJF4, Q9BUV9, Q9UBG4",,
