Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
SRSF1,,SR protein,serine/arginine-rich splicing factor 1,"ASF-1, SR splicing factor 1, alternative-splicing factor 1, pre-mRNA-splicing factor SF2, P33 subunit, serine/arginine-rich splicing factor 1",H. sapiens,ENSG00000136450,27745,RRM,,6426,serine/arginine-rich splicing factor 1,SRSF1_HUMAN,"Q07955, B2R6Z7, D3DTZ3, Q13809","1X4A, 2O3D, 3BEG","Arg/Ser-rich (RS domain), Gly-rich (hinge region)"
SRSF2,,SR protein,serine/arginine-rich splicing factor 2,"SR splicing factor 2, serine/arginine-rich splicing factor 2, splicing component, 35 kDa, splicing factor SC35, splicing factor, arginine/serine-rich 2",H. sapiens,ENSG00000161547,25476,RRM,,6427,serine/arginine-rich splicing factor 2,SRSF2_HUMAN,"Q01130, B3KWD5","2KN4, 2LEA, 2LEB, 2LEC","Arg/Ser-rich (RS domain), Gly-rich (hinge region)"
SRSF4,,SR protein,serine/arginine-rich splicing factor 4,"SR splicing factor 4, SRP001LB, pre-mRNA-splicing factor SRP75, serine/arginine-rich splicing factor 4, splicing factor, arginine/serine-rich 4",H. sapiens,ENSG00000116350,56678,RRM,,6429,serine/arginine-rich splicing factor 4,SRSF4_HUMAN,"Q08170, Q5VXP1, Q9BUA4, Q9UEB5",,"Arg/Ser-rich (RS domain), Gly-rich (hinge region)"
SRSF5,,SR protein,serine/arginine-rich splicing factor 5,"SR splicing factor 5, delayed-early protein HRS, pre-mRNA-splicing factor SRP40, serine/arginine-rich splicing factor 5, splicing factor, arginine/serine-rich 5",H. sapiens,ENSG00000100650,31264,RRM,,6430,serine/arginine-rich splicing factor 5,SRSF5_HUMAN,"Q13243, O14797, Q16662, Q49AD6",,"Arg/Ser-rich (RS domain), Gly-rich (hinge region)"
SRSF6,,SR protein,serine/arginine-rich splicing factor 6,"SR splicing factor 6, pre-mRNA-splicing factor SRP55, serine/arginine-rich splicing factor 6, splicing factor, arginine/serine-rich, 55 kDa",H. sapiens,ENSG00000124193,39587,RRM,,6431,serine/arginine-rich splicing factor 6,SRSF6_HUMAN,"Q13247, B7Z6J3, E1P5W6, Q13244, Q13245",,"Arg/Ser-rich (RS domain), Gly-rich (hinge region)"
SRSF7,,SR protein,serine/arginine-rich splicing factor 7,"SR splicing factor 7, aging-associated protein 3, serine/arginine-rich splicing factor 7, splicing factor 9G8, splicing factor, arginine/serine-rich 7, 35kDa",H. sapiens,ENSG00000115875,27367,RRM,,6432,serine/arginine-rich splicing factor 7,SRSF7_HUMAN,"Q16629, Q564D3",2HVZ,Arg/Ser-rich (RS domain)
SRSF11,,SR protein,serine/arginine-rich splicing factor 11,"SR splicing factor 11, arginine-rich 54 kDa nuclear protein, serine/arginine-rich splicing factor 11, splicing factor p54, splicing factor, arginine/serine-rich 11",H. sapiens,ENSG00000116754,53542,RRM,,9295,serine/arginine-rich splicing factor 11,SRS11_HUMAN,"Q05519, Q5T758, Q8IWE6",,"Poly-Arg, Poly-Gly, Poly-Lys"
SRSF9,,SR protein,serine/arginine-rich splicing factor 9,"SR splicing factor 9, pre-mRNA-splicing factor SRp30C, serine/arginine-rich splicing factor 9, splicing factor, arginine/serine-rich 9",H. sapiens,ENSG00000111786,25542,RRM,,8683,serine/arginine-rich splicing factor 9,SRSF9_HUMAN,"Q13242, Q52LD1",,"Arg/Ser-rich (RS domain), Gly-rich (hinge region)"
SREK1,,SR protein,splicing regulatory glutamine/lysine-rich protein 1,"serine-arginine-rich splicing regulatory protein 508, serine-arginine-rich-splicing regulatory protein 86, serine/arginine-rich-splicing regulatory protein 86, splicing factor, arginine/serine-rich 12, splicing regulatory glutamine/lysine-rich protein 1",H. sapiens,ENSG00000153914,59380,RRM,,140890,splicing regulatory glutamine/lysine-rich protein 1,SREK1_HUMAN,"Q8WXA9, A4FTW3, Q2M1J0, Q86X37",,Arg/Glu/Lys/Ser-rich
TRA2B,,SR protein,transformer 2 beta homolog (Drosophila),"TRA-2 beta, splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila), transformer-2 protein homolog B, transformer-2 protein homolog beta",H. sapiens,ENSG00000136527,33666,RRM,,6434,transformer 2 beta homolog (Drosophila),TRA2B_HUMAN,"P62995, B4DVK2, D3DNU3, O15449, Q15815","2CQC, 2KXN, 2RRA, 2RRB","Arg/Ser-rich (RS1 domain), Arg/Ser-rich (RS2 domain)"
SRSF3,,SR protein,serine/arginine-rich splicing factor 3,"pre-mRNA-splicing factor SRP20, serine/arginine-rich splicing factor 3, splicing factor, arginine/serine-rich 3, splicing factor, arginine/serine-rich, 20-kD",H. sapiens,ENSG00000112081,19330,RRM,,6428,serine/arginine-rich splicing factor 3,SRSF3_HUMAN,"P84103, O08831, P23152, Q5R3K0","2I2Y, 2I38",Arg/Ser-rich (RS domain)
SFSWAP,,SR protein,"splicing factor, suppressor of white-apricot homolog (Drosophila)","splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila), splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot, Drosophila homolog), splicing factor, suppressor of white-apricot homolog, suppressor of white apricot protein homolog",H. sapiens,ENSG00000061936,104822,,,6433,"splicing factor, suppressor of white-apricot homolog (Drosophila)",SFSWA_HUMAN,"Q12872, B2RN45, Q6PJF7","2E5Z, 2E60","Arg/Ser-rich (RS domain), Poly-Ala, Poly-Asp, Poly-Glu, Poly-Lys"
SRSF12,,SR protein,serine/arginine-rich splicing factor 12,"35 kDa SR repressor protein, SR splicing factor 12, serine-arginine repressor protein (35 kDa), serine/arginine-rich splicing factor 12, splicing factor, arginine/serine-rich 13B",H. sapiens,ENSG00000154548,30512,RRM,,135295,serine/arginine-rich splicing factor 12,SRS12_HUMAN,"Q8WXF0, B2RA22, Q5T7K0, Q8WW25",,Arg/Ser-rich (RS domain)
TRA2A,,SR protein,transformer 2 alpha homolog (Drosophila),"TRA-2 alpha, TRA2-alpha, Tra2alpha, htra-2 alpha, htra-2-alpha",H. sapiens,ENSG00000164548,32689,RRM,,29896,transformer 2 alpha homolog (Drosophila),TRA2A_HUMAN,Q13595,,"Arg/Ser-rich (RS1 domain), Arg/Ser-rich (RS2 domain)"
SRSF8,,SR protein,serine/arginine-rich splicing factor 8,"SR splicing factor 8, pre-mRNA-splicing factor SRP46, serine/arginine-rich splicing factor 8, splicing factor SRp46, splicing factor, arginine/serine-rich 2B",H. sapiens,ENSG00000180771,32288,RRM,,10929,serine/arginine-rich splicing factor 8,SRSF8_HUMAN,"Q9BRL6, B2R6B8, Q6PF01, Q96TA3",2DNM,Arg-rich
SRSF10,,SR protein,serine/arginine-rich splicing factor 10,"40 kDa SR-repressor protein, FUS interacting protein (serine-arginine rich) 1, FUS-interacting protein (serine-arginine rich) 2, FUS-interacting serine-arginine-rich protein 1, SR splicing factor 10",H. sapiens,ENSG00000188529,31301,RRM,,10772,serine/arginine-rich splicing factor 10,SRS10_HUMAN,"O75494, A6NFM6, A6NI42, A6NIU7, B4DJP9",,Arg/Ser-rich (RS domain)
