Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
DDX42,,17S U2 snRNP associated,DEAD (Asp-Glu-Ala-Asp) box polypeptide 42,"ATP-dependent RNA helicase DDX42, DEAD box protein 42, RNA helicase-like protein, RNA helicase-related protein, SF3b DEAD box protein",H. sapiens,ENSG00000198231,102975,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",11325,DEAD (Asp-Glu-Ala-Asp) box polypeptide 42,DDX42_HUMAN,"Q86XP3, A6NML1, A8KA43, O75619, Q68G51",,"Gly-rich, His-rich, Poly-Glu, Poly-Gly, Poly-Ser"
DDX46,"17S U2 snRNP, A complex",17S U2 snRNP associated,DEAD (Asp-Glu-Ala-Asp) box polypeptide 46,"DEAD box protein 46, PRP5 homolog, Prp5-like DEAD-box protein, RNA helicase, probable ATP-dependent RNA helicase DDX46",H. sapiens,ENSG00000145833,117362,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",9879,DEAD (Asp-Glu-Ala-Asp) box polypeptide 46,DDX46_HUMAN,"Q7L014, O94894, Q96EI0, Q9Y658",,"Arg-rich, Poly-Asp"
HTATSF1,17S U2 snRNP,17S U2 snRNP associated,HIV-1 Tat specific factor 1,"HIV TAT specific factor 1, HIV Tat-specific factor 1, cofactor required for Tat activation of HIV-1 transcription",H. sapiens,ENSG00000102241,85853,RRM,,27336,HIV-1 Tat specific factor 1,HTSF1_HUMAN,"O43719, D3DWG9, Q59G06, Q99730",2DIT,"Asp/Glu-rich (acidic), Poly-Lys"
DHX15,"A complex, B complex",17S U2 snRNP associated,DEAH (Asp-Glu-Ala-His) box polypeptide 15,"ATP-dependent RNA helicase #46, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 15, DEAD/H box-15, DEAH box protein 15, RNA helicase 2",H. sapiens,ENSG00000109606,90933,"Helicase ATP-binding, Helicase C-terminal",DEAH box,1665,DEAH (Asp-Glu-Ala-His) box polypeptide 15,DHX15_HUMAN,"O43143, Q9NQT7",,
U2AF1,A complex,17S U2 snRNP associated,U2 small nuclear RNA auxiliary factor 1,"U2 small nuclear RNA auxillary factor 1, U2 small nuclear ribonucleoprotein auxillary factor, 35-KD subunit, U2 snRNP auxiliary factor small subunit, U2(RNU2) small nuclear RNA auxiliary factor binding protein, splicing factor U2AF 35 kDa subunit",H. sapiens,ENSG00000160201,27872,RRM,,7307,U2 small nuclear RNA auxiliary factor 1,U2AF1_HUMAN,"Q01081, Q701P4, Q71RF1",1JMT,"Arg/Gly/Ser-rich (RS domain), Poly-Gly"
U2AF2,A complex,17S U2 snRNP associated,U2 small nuclear RNA auxiliary factor 2,"U2 (RNU2) small nuclear RNA auxiliary factor 2, U2 auxiliary factor 65 kDa subunit, U2 small nuclear ribonucleoprotein auxiliary factor (65kD), U2 snRNP auxiliary factor large subunit, hU2AF(65)",H. sapiens,ENSG00000063244,53501,RRM,,11338,U2 small nuclear RNA auxiliary factor 2,U2AF2_HUMAN,"P26368, Q96HC5","1JMT, 1O0P, 1OPI, 1U2F, 2G4B",Arg/Ser-rich (RS domain)
PUF60,A complex,17S U2 snRNP associated,poly-U binding splicing factor 60KDa,"60 kDa poly(U)-binding-splicing factor, FBP interacting repressor, FBP-interacting repressor, Ro ribonucleoprotein binding protein 1, Ro ribonucleoprotein-binding protein 1",H. sapiens,ENSG00000179950,59875,"RRM, RRM 3; atypical",,22827,poly-U binding splicing factor 60KDa,PUF60_HUMAN,"Q9UHX1, A8K8K8, Q969E7, Q96D94, Q96H63","2DNY, 2KXF, 2KXH, 2QFJ, 3DXB",Ala-rich
SMNDC1,A complex,17S U2 snRNP associated,survival motor neuron domain containing 1,"30 kDa splicing factor SMNrp, SMN-related protein, splicing factor 30, survival of motor neuron-related, survival motor neuron domain-containing protein 1, survival of motor neuron-related-splicing factor 30",H. sapiens,ENSG00000119953,26711,Tudor,Nuclear localization signal,10285,survival motor neuron domain containing 1,SPF30_HUMAN,"O75940, B2RA27, D3DRB1, Q5T3K6","4A4F, 4A4H",
RBM17,A complex,17S U2 snRNP associated,RNA binding motif protein 17,"45 kDa-splicing factor, RNA-binding motif protein 17, splicing factor 45, splicing factor 45kDa",H. sapiens,ENSG00000134453,44962,"G-patch, RRM",,84991,RNA binding motif protein 17,SPF45_HUMAN,"Q96I25, Q96GY6","2PE8, 2PEH",
U2SURP,A complex,17S U2 snRNP associated,U2 snRNP-associated SURP domain containing,"140 kDa Ser/Arg-rich domain protein, Ser/Arg-rich domain protein, 140 kDa, U2 associated SR140 protein, U2 snRNP-associated SURP motif-containing protein, U2-associated SR140 protein",H. sapiens,ENSG00000163714,118292,"CID, RRM",,23350,U2 snRNP-associated SURP domain containing,SR140_HUMAN,"O15042, A0PJ60, Q0D2M1, Q2NKQ7, Q9BR70",,"Arg/Ser-rich, Asp-rich, Glu-rich, Pro-rich"
CHERP,A complex,17S U2 snRNP associated,calcium homeostasis endoplasmic reticulum protein,"ERPROT 213-21, ERPROT213-21, SR-related CTD associated factor 6, SR-related CTD-associated factor 6, calcium homeostasis endoplasmic reticulum protein",H. sapiens,ENSG00000085872,103702,"CID, G-patch",,10523,calcium homeostasis endoplasmic reticulum protein,CHERP_HUMAN,"Q8IWX8, O00302, Q4G0Y5, Q8WU30, Q99492",,"Arg-rich, Gln-rich, Pro-rich"
