ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46301996	46302154	1	441,288,523,210,353,151	7,6,17,7,4,2	62,45,113,153,154,251,258,104,14	2,0,8,7,17,3,3,0,0	433	150	0.220535406865	0.542330090512	0.956,0.943,0.914,0.912,0.968,0.963	0.915,1.0,0.83,0.883,0.758,0.967,0.968,1.0,1.0	0.018
2	"ENSG00000160298"	"C21orf58"	chr21	-	46314870	46315547	46314870	46315049	46315473	46315547	2	34,35,10,19,62,6	105,45,62,24,54,15	4,0,1,7,17,33,21,16,0	25,5,36,41,75,52,26,23,2	574	150	0.0059709282208	0.0380157089935	0.078,0.169,0.04,0.171,0.231,0.095	0.04,0.0,0.007,0.043,0.056,0.142,0.174,0.154,0.0	0.062
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	3	145,95,80,55,136,200	109,183,244,150,180,208	19,56,77,105,103,158,81,89,110	84,61,191,125,120,162,210,50,79	373	150	0.37786312567	0.77528775914	0.349,0.173,0.116,0.129,0.233,0.279	0.083,0.27,0.14,0.253,0.257,0.282,0.134,0.417,0.359	-0.031
4	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	4	465,1493,1997,1386,2002,1173	2,5,10,4,3,3	545,580,2132,634,1744,1256,2193,709,1100	0,3,4,0,3,1,8,1,4	2404	150	0.0899381765939	0.287850584038	0.936,0.949,0.926,0.956,0.977,0.961	1.0,0.923,0.971,1.0,0.973,0.987,0.945,0.978,0.945	-0.018
5	"ENSG00000160285"	"LSS"	chr21	-	46228433	46228824	46228433	46228599	46228731	46228824	5	0,3,0,2,0,2	4,7,1,1,7,2	0,2,5,0,0,0,0,1,1	5,6,9,2,0,3,5,2,3	282	150	1	1.0	0.0,0.186,0.0,0.515,0.0,0.347	0.0,0.151,0.228,0.0,NA,0.0,0.0,0.21,0.151	0.082
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45267589	45267713	6	22,20,70,25,49,19	41,74,96,62,60,71	0,46,1,35,4,79,25,88,49	29,65,36,60,46,42,55,50,59	2104	150	0.0191184376003	0.0921249130973	0.037,0.019,0.049,0.028,0.055,0.019	0.0,0.048,0.002,0.04,0.006,0.118,0.031,0.111,0.056	-0.011
8	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	8	149,137,287,145,124,192	1414,1612,1868,1386,1466,1692	128,128,127,236,76,86,147,141,142	1350,1103,1916,963,1173,972,1396,1347,1080	2372	150	0.683179064958	1.0	0.007,0.005,0.01,0.007,0.005,0.007	0.006,0.007,0.004,0.015,0.004,0.006,0.007,0.007,0.008	-0.0
9	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	9	786,783,596,351,704,1579	1345,1638,1991,1453,1326,1633	248,654,474,803,592,719,926,1943,927	1456,1147,2159,1045,1257,1096,1520,1122,1058	818	150	0.047808413971	0.183073121454	0.097,0.081,0.052,0.042,0.089,0.151	0.03,0.095,0.039,0.124,0.079,0.107,0.1,0.241,0.138	-0.021
10	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	10	99,147,123,106,105,151	1620,1908,2190,1571,1544,1935	123,110,161,124,110,118,106,134,96	1623,1264,2441,1245,1450,1364,1826,1541,1323	1731	150	1	1.0	0.005,0.007,0.005,0.006,0.006,0.007	0.007,0.007,0.006,0.009,0.007,0.007,0.005,0.007,0.006	-0.001
11	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	11	728,581,669,435,605,1273	0,0,0,0,3,0	290,867,388,766,534,601,583,1395,971	0,1,0,7,0,2,7,0,0	1193	150	0.657577504262	1.0	1.0,1.0,1.0,1.0,0.962,1.0	1.0,0.991,1.0,0.932,1.0,0.974,0.913,1.0,1.0	0.015
