Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
CWC27,"Bact complex, C complex, P complex",Recruited at Bact complex,CWC27 spliceosome-associated protein homolog (S. cerevisiae),"PPIase CWC27, PPIase SDCCAG10, antigen NY-CO-10, peptidyl-prolyl cis-trans isomerase CWC27 homolog, peptidyl-prolyl cis-trans isomerase SDCCAG10",H. sapiens,ENSG00000153015,53847,PPIase cyclophilin-type,,10283,CWC27 spliceosome-associated protein homolog (S. cerevisiae),CWC27_HUMAN,"Q6UX04, O60529, O60530, Q96EM3",2HQ6,
DHX16,"Bact complex, C complex, P complex",Recruited at Bact complex,DEAH (Asp-Glu-Ala-His) box polypeptide 16,"ATP-dependent RNA helicase #3, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 16, DEAD/H box 16, DEAH-box protein 16, RNA helicase",H. sapiens,ENSG00000204560,119264,"Helicase ATP-binding, Helicase C-terminal",DEAH box,8449,DEAH (Asp-Glu-Ala-His) box polypeptide 16,DHX16_HUMAN,"O60231, O60322, Q5JP45, Q969X7, Q96QC1",,
CWC22,"Bact complex, C complex, P complex",Recruited at Bact complex,CWC22 spliceosome-associated protein homolog (S. cerevisiae),"functional spliceosome-associated protein b, nucampholin homolog, pre-mRNA-splicing factor CWC22 homolog",H. sapiens,ENSG00000163510,105466,"MI, MIF4G",,57703,CWC22 spliceosome-associated protein homolog (S. cerevisiae),CWC22_HUMAN,"Q9HCG8, Q05DC2, Q4G135, Q52LF0, Q6PEX2",,"Arg-rich, Poly-Glu, Poly-Lys, Ser-rich"
ZNF830,"Bact complex, C complex, P complex",Recruited at Bact complex,zinc finger protein 830,"coiled-coil domain containing 16, coiled-coil domain-containing protein 16, hypothetical protein MGC20398, sel-13 suppressor of lin-12 homolog, zinc finger protein 830",H. sapiens,ENSG00000198783,41999,,,91603,zinc finger protein 830,ZN830_HUMAN,"Q96NB3, Q96F60, Q96GZ5, Q9BU38",,
CCDC12,"Bact complex, C complex, P complex",Recruited at Bact complex,coiled-coil domain containing 12,coiled-coil domain-containing protein 12,H. sapiens,ENSG00000160799,19181,,,151903,coiled-coil domain containing 12,CCD12_HUMAN,"Q8WUD4, Q8N8I4",,
PPIL2,Bact complex,Recruited at Bact complex,peptidylprolyl isomerase (cyclophilin)-like 2,"PPIase, cyclophilin, 60kDa, cyclophilin-60, cyclophilin-like protein CyP-60, peptidyl-prolyl cis-trans isomerase-like 2",H. sapiens,ENSG00000100023,58823,"PPIase cyclophilin-type, U-box",,23759,peptidylprolyl isomerase (cyclophilin)-like 2,PPIL2_HUMAN,"Q13356, Q13357, Q8TAH2, Q9BWR8",1ZKC,
GPKOW,"Bact complex, C complex, P complex",Recruited at Bact complex,G patch domain and KOW motifs,"G patch domain and KOW motifs-containing protein, protein MOS2 homolog",H. sapiens,ENSG00000068394,52229,"G-patch, KOW",,27238,G patch domain and KOW motifs,GPKOW_HUMAN,"Q92917, Q59EK5, Q9BQA8",,
RNF113A,"Bact complex, C complex, P complex",Recruited at Bact complex,ring finger protein 113A,"RING finger protein 113A, zinc finger protein 183 (RING finger, C3HC4 type)",H. sapiens,ENSG00000125352,38787,,,7737,ring finger protein 113A,R113A_HUMAN,O15541,,Poly-Glu
PRCC,Bact complex,Recruited at Bact complex,papillary renal cell carcinoma (translocation-associated),"papillary renal cell carcinoma translocation-associated gene protein, proline-rich protein PRCC",H. sapiens,ENSG00000143294,52418,,,5546,papillary renal cell carcinoma (translocation-associated),PRCC_HUMAN,"Q92733, A8K1F7, O00665, O00724, Q5SZ06",,"Poly-Glu, Poly-Pro, Poly-Thr"
CWC25,Bact complex,Recruited at Bact complex,CWC25 spliceosome-associated protein homolog (S. cerevisiae),"coiled-coil domain containing 49, coiled-coil domain-containing protein 49, pre-mRNA-splicing factor CWC25 homolog, spliceosome-associated protein homolog CWC25",H. sapiens,ENSG00000108296,49647,,,54883,CWC25 spliceosome-associated protein homolog (S. cerevisiae),CWC25_HUMAN,"Q9NXE8, A0JLM3, Q68DK5",,Lys-rich
GPATCH1,"Bact complex, C complex",Recruited at Bact complex,G patch domain containing 1,"G patch domain-containing protein 1, evolutionarily conserved G patch domain containing, evolutionarily conserved G-patch domain containing, evolutionarily conserved G-patch domain-containing protein",H. sapiens,ENSG00000076650,103345,G-patch,,55094,G patch domain containing 1,GPTC1_HUMAN,"Q9BRR8, Q8IZV6, Q8N3B7, Q9NW94",,
YJU2,,Recruited at Bact complex,YJU2 pre-mRNA splicing factor,coiled-coil domain-containing protein 94,H. sapiens,ENSG00000105248,37086,,,55702,YJU2 pre-mRNA splicing factor,CCD94_HUMAN,"Q9BW85, O75270, Q9H862, Q9NW16",,
