EventID	geneSymbol	Start1	End1	RI
5_AP1G1	AP1G1	71807801	71807838	N
 4_AP1G1	AP1G1	71773221	71773362	N
 3_CD47	CD47	108057477	108057569	N
 1_GOLGA1	GOLGA1	37243177	37243622	N
 4_MAP4K4	MAP4K4	101859643	101859864	N
 1_WNK1	WNK1	862083	862270	N
 8_DNM1L	DNM1L	32737105	32737161	N
 3_DNM1L	DNM1L	32708153	32708224	N
 1_DNM1L	DNM1L	32701415	32701562	N
 2_EXOC1	EXOC1	55890223	55890386	N
 1_FAM126A	FAM126A	22977341	22977421	N
 1_MAP3K4	MAP3K4	161108743	161108859	N
 4_NASP	NASP	45591223	45591270	N
 3_NASP	NASP	45591223	45591270	N
 2_NASP	NASP	45591223	45591270	N
 1_NASP	NASP	45591223	45591270	N
 2_STX2	STX2	130812957	130813031	N
 1_STX2	STX2	130798525	130798635	N
 2_TPM2	TPM2	35685269	35685339	N
 1_TPM2	TPM2	35685064	35685139	N
