ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46301996	46302154	1	165,95,177	2,0,0	141,40,5,101,27,73,85,377,4	2,0,0,0,2,0,5,17,0	433	150	0.000510124698872	0.00377578012409	0.966,1.0,1.0	0.961,1.0,1.0,1.0,0.824,1.0,0.855,0.885,1.0	0.041
2	"ENSG00000160298"	"C21orf58"	chr21	-	46314870	46315547	46314870	46315049	46315473	46315547	2	56,0,27	45,59,12	7,1,2,0,3,29,0,15,0	32,19,4,19,5,5,1,36,7	574	150	0.0647958380332	0.196124309758	0.245,0.0,0.37	0.054,0.014,0.116,0.0,0.136,0.602,0.0,0.098,0.0	0.092
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	3	110,18,129	236,71,6	76,48,23,52,93,71,67,40,0	140,157,63,71,159,111,132,23,4	373	150	0.218359366699	0.514692294878	0.158,0.093,0.896	0.179,0.109,0.128,0.228,0.19,0.205,0.17,0.412,0.0	0.202
4	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	4	2611,732,1077	11,28,0	835,844,365,571,1447,1012,4770,928,864	1,0,0,4,6,18,50,12,0	2404	150	0.672728264123	1.0	0.937,0.62,1.0	0.981,1.0,1.0,0.899,0.938,0.778,0.856,0.828,1.0	-0.068
5	"ENSG00000160285"	"LSS"	chr21	-	46228433	46228824	46228433	46228599	46228731	46228824	5	0,0,0	21,0,0	1,1,0,0,0,1,8,0,0	3,0,1,0,3,0,4,0,0	282	150	1	1.0	0.0,NA,NA	0.151,1.0,0.0,NA,0.0,1.0,0.515,NA,NA	-0.444
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45267589	45267713	6	31,30,64	26,139,62	32,4,16,15,43,9,99,3,4	56,24,64,19,61,52,100,13,21	2104	150	0.431475509166	0.862167941183	0.078,0.015,0.069	0.039,0.012,0.018,0.053,0.048,0.012,0.066,0.016,0.013	0.023
7	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44891808	44891935	44891936	44891996	7	1427,703,323	0,0,0	1859,227,1953,1058,7182,418,12,904,580	0,0,0,0,2,0,0,0,0	151	150	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.0
8	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	8	73,123,7	1016,620,485	211,110,75,67,71,45,83,66,128	1835,1261,979,564,911,679,553,876,601	2372	150	0.834939088575	1.0	0.005,0.012,0.001	0.007,0.005,0.005,0.007,0.005,0.004,0.009,0.005,0.013	-0.001
9	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	9	439,1256,1071	1001,488,344	651,367,372,184,465,228,516,1172,1208	1834,1433,950,623,976,648,522,728,500	818	150	0.000133810079113	0.00124063071245	0.074,0.321,0.363	0.061,0.045,0.067,0.051,0.08,0.061,0.153,0.228,0.307	0.136
10	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	10	50,77,56	1121,730,494	165,109,109,51,101,51,57,66,117	2211,1624,1059,742,1082,748,654,1069,783	1731	150	0.940840435795	1.0	0.004,0.009,0.01	0.006,0.006,0.009,0.006,0.008,0.006,0.007,0.005,0.013	0.0
11	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	11	172,403,706	0,28,0	688,357,328,209,505,230,308,737,1220	4,0,4,0,0,6,1,0,0	1193	150	0.000379938523151	0.00298261899458	1.0,0.644,1.0	0.956,1.0,0.912,1.0,1.0,0.828,0.975,1.0,1.0	-0.082
16	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357	16	6,0,6	126,0,86	0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,32,8	1224	150	1	1.0	0.006,NA,0.008	NA,NA,NA,NA,NA,NA,NA,0.004,0.0	0.005
17	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119	17	17,0,0	146,0,73	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,60,12	1433	150	1	1.0	0.012,NA,0.0	NA,NA,NA,NA,NA,NA,NA,0.0,0.0	0.006
20	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288312	42287888	42288037	42288210	42288312	20	42,80,10	215,0,0	5,10,7,16,129,1,0,12,37	17,4,0,37,230,10,3,19,0	323	150	0.00952329555461	0.042407071408	0.083,1.0,1.0	0.12,0.537,1.0,0.167,0.207,0.044,0.0,0.227,1.0	0.327
21	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288312	42287888	42288073	42288210	42288312	21	11,6,0	126,227,12	1,6,7,12,39,0,0,1,8	20,4,50,17,233,10,13,68,123	287	150	0.00436063345221	0.0221496917924	0.044,0.014,0.0	0.025,0.439,0.068,0.27,0.08,0.0,0.0,0.008,0.033	-0.083
23	"ENSG00000173276"	"ZBTB21"	chr21	-	41986830	41994108	41986830	41991889	41992492	41994108	23	87,816,91	26,28,35	327,113,156,71,470,46,223,58,163	10,8,2,7,34,0,7,0,0	753	150	0.00059606176235	0.00430337049408	0.4,0.853,0.341	0.867,0.738,0.94,0.669,0.734,1.0,0.864,1.0,1.0	-0.337
24	"ENSG00000157601"	"MX1"	chr21	+	41421837	41422095	41421837	41421871	41421974	41422095	24	2,20,0	15,0,0	0,0,0,0,1,11,5,0,0	0,0,0,0,0,8,3,0,0	253	150	1	1.0	0.073,1.0,NA	NA,NA,NA,NA,1.0,0.449,0.497,NA,NA	-0.112
26	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39347292	39345829	39345958	39347246	39347292	26	4236,3531,2376	71,22,0	3435,1947,1254,1591,2367,2033,7307,1124,1379	53,47,64,6,21,13,148,19,0	1438	150	0.00337913252154	0.0180343185528	0.862,0.944,1.0	0.871,0.812,0.671,0.965,0.922,0.942,0.837,0.861,1.0	0.06
27	"ENSG00000205581"	"HMGN1"	chr21	-	39345145	39348339	39345145	39345274	39348291	39348339	27	6233,5813,3842	2534,1578,646	5555,3365,2093,2560,3701,3243,9539,1709,1845	4263,4245,2661,1350,3881,2228,2731,3001,1196	3167	150	0	0.0	0.104,0.149,0.22	0.058,0.036,0.036,0.082,0.043,0.064,0.142,0.026,0.068	0.096
28	"ENSG00000205581"	"HMGN1"	chr21	-	39348421	39348577	39348421	39348451	39348544	39348577	28	213,220,129	2007,1752,545	332,256,156,153,217,155,272,151,73	3172,3278,2493,979,2556,1595,2845,2123,1358	243	150	2.37624324662e-08	7.02347332759e-07	0.061,0.072,0.127	0.061,0.046,0.037,0.088,0.05,0.057,0.056,0.042,0.032	0.035
29	"ENSG00000205622"	"AF064858.6"	chr21	-	38923425	38923693	38923425	38923513	38923637	38923693	29	0,0,0	22,0,0	2,0,0,0,0,0,0,0,0	1,0,0,0,1,0,0,0,0	274	150	1	1.0	0.0,NA,NA	0.523,NA,NA,NA,0.0,NA,NA,NA,NA	-0.262
30	"ENSG00000157538"	"DSCR3"	chr21	-	37223419	37227806	37223419	37225626	37227653	37227806	30	43,105,118	386,148,109	88,29,21,4,64,8,95,343,36	449,234,218,120,353,125,241,206,154	2177	150	3.19575807788e-05	0.000373492128334	0.008,0.047,0.069	0.013,0.008,0.007,0.002,0.012,0.004,0.026,0.103,0.016	0.02
33	"ENSG00000159079"	"C21orf59"	chr21	-	32601666	32603292	32601666	32601973	32603160	32603292	33	436,306,5	57,112,0	116,68,17,107,174,150,237,208,8	42,51,10,6,79,52,71,56,19	1337	150	0.239548095235	0.554955187488	0.462,0.235,1.0	0.237,0.13,0.16,0.667,0.198,0.245,0.272,0.294,0.045	0.316
34	"ENSG00000156253"	"RWDD2B"	chr21	-	29008239	29008621	29008239	29008307	29008394	29008621	34	86,7,5	75,3,12	17,33,1,34,26,34,41,93,0	58,88,9,34,32,25,41,128,28	237	150	0.15290804935	0.386571210871	0.421,0.596,0.209	0.156,0.192,0.066,0.388,0.34,0.463,0.388,0.315,0.0	0.152
