ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000160299"	"PCNT"	chr21	+	46431528	46432215	46431528	46431978	46435903	46436148	0	188,204,0	19,0,0	71,60,55,26,84,56,73,20,29	20,15,1,0,11,10,30,12,0	387	150	1	1.0	0.793,1.0,NA	0.579,0.608,0.955,1.0,0.747,0.685,0.485,0.392,1.0	0.18
1	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46222662	46222738	46221853	46221975	1	199,106,55	1,2,0	72,56,35,52,134,93,426,83,28	2,0,0,2,6,3,15,0,6	183	150	0.00221728135891	0.021191130151	0.994,0.977,1.0	0.967,1.0,1.0,0.955,0.948,0.962,0.959,1.0,0.793	0.037
2	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282348	45282459	2	0,14,0	23,77,76	7,4,9,0,4,3,16,0,2	57,23,26,35,49,30,52,6,40	181	150	0.102091309369	0.477554191155	0.0,0.131,0.0	0.092,0.126,0.223,0.0,0.063,0.077,0.203,0.0,0.04	-0.048
3	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398	3	0,4,30	0,13,44	3,11,0,0,4,5,6,0,1	4,2,0,0,1,3,11,0,0	181	150	1	1.0	NA,0.203,0.361	0.383,0.82,NA,NA,0.768,0.58,0.311,NA,1.0	-0.362
4	"ENSG00000160255"	"ITGB2"	chr21	-	44892916	44895060	44894970	44895060	44889977	44890222	4	74,63,0	0,0,0	208,10,75,67,889,9,4,13,29	0,0,0,0,3,0,0,0,0	2204	150	1	1.0	1.0,1.0,NA	1.0,1.0,1.0,1.0,0.953,1.0,1.0,1.0,1.0	0.005
5	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910372	5	8,0,0	350,214,98	23,6,3,21,127,2,0,7,0	675,70,616,291,1694,73,2,186,164	275	150	2.02002276123e-05	0.000422292824158	0.012,0.0,0.0	0.018,0.045,0.003,0.038,0.039,0.015,0.0,0.02,0.0	-0.016
6	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910415	6	0,0,0	0,2,0	11,4,2,14,47,0,0,4,0	10,0,4,0,3,0,0,0,3	275	150	1	1.0	NA,0.0,NA	0.375,1.0,0.214,1.0,0.895,NA,NA,1.0,0.0	-0.641
7	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44805616	44807040	7	34,51,6	1789,2367,685	50,34,44,10,66,2,35,59,67	1535,1508,2211,477,2768,309,1682,1252,1534	200	150	0.00278797320973	0.025797639172	0.014,0.016,0.007	0.024,0.017,0.015,0.015,0.018,0.005,0.015,0.034,0.032	-0.007
8	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44813975	44814104	44809046	44809118	8	20,118,0	1480,1911,565	23,42,58,0,59,4,42,40,32	1237,1278,1801,382,2190,271,1307,1003,1190	264	150	0.348932693053	1.0	0.008,0.034,0.0	0.01,0.018,0.018,0.0,0.015,0.008,0.018,0.022,0.015	0.0
9	"ENSG00000160214"	"RRP1"	chr21	+	43789512	43789762	43789512	43789695	43791349	43791432	9	256,58,79	0,0,0	274,174,56,102,227,63,93,253,116	2,0,0,0,0,0,0,0,0	217	150	1	1.0	1.0,1.0,1.0	0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.001
10	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43732138	43732442	43734068	43734123	10	1,0,0	0,0,0	7,13,0,5,4,0,2,0,0	4,0,2,0,0,0,2,4,0	355	150	1	1.0	1.0,NA,NA	0.425,1.0,0.0,1.0,1.0,NA,0.297,0.0,NA	0.468
11	"ENSG00000160188"	"RSPH1"	chr21	-	42484676	42486461	42486370	42486461	42482636	42482708	11	2,206,406	0,0,0	8,5,0,9,0,0,30,141,0	0,4,0,0,0,0,1,0,0	1844	150	1	1.0	1.0,1.0,1.0	1.0,0.092,NA,1.0,NA,NA,0.709,1.0,NA	0.24
12	"ENSG00000160185"	"UBASH3A"	chr21	+	42434831	42435509	42434831	42434954	42437487	42437580	12	0,0,0	3,0,0	0,0,0,0,0,0,4,0,0	0,0,0,0,7,0,2,0,0	705	150	1	1.0	0.0,NA,NA	NA,NA,NA,NA,0.0,NA,0.299,NA,NA	-0.149
