Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
NKAP,,Occasionally detected in C complex,NFKB activating protein,"NF-kappa-B-activating protein, NF-kappaB activating protein",H. sapiens,ENSG00000101882,47138,,,79576,NFKB activating protein,NKAP_HUMAN,"Q8N5F7, Q6IPW6, Q96BQ2, Q9H638",,"Lys-rich, Ser-rich"
FAM50B,,Occasionally detected in C complex,"family with sequence similarity 50, member B",protein FAM50B,H. sapiens,ENSG00000145945,38709,,,26240,"family with sequence similarity 50, member B",FA50B_HUMAN,"Q9Y247, Q5T2L6",,
GNB2L1,,Occasionally detected in C complex,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1","Receptor for Activated C Kinase 1, cell proliferation-inducing gene 21 protein, guanine nucleotide-binding protein subunit beta-2-like 1, guanine nucleotide-binding protein subunit beta-like protein 12.3, human lung cancer oncogene 7 protein",H. sapiens,ENSG00000204628,35077,,,10399,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1",GBLP_HUMAN,"P63244, B3KTJ0, D3DWS0, P25388, P99049",,
MATR3,,Occasionally detected in C complex,matrin 3,"matrin-3, vocal cord and pharyngeal weakness with distal myopathy",H. sapiens,ENSG00000015479,94623,RRM,Nuclear localization signal,9782,matrin 3,MATR3_HUMAN,"P43243, B7ZAV5, D3DQC3, Q9UHW0, Q9UQ27",,
BCAS1,,Occasionally detected in C complex,breast carcinoma amplified sequence 1,"amplified and overexpressed in breast cancer, breast carcinoma-amplified sequence 1, novel amplified in breast cancer 1",H. sapiens,ENSG00000064787,61709,,,8537,breast carcinoma amplified sequence 1,BCAS1_HUMAN,"O75363, A0AVG5, Q68CZ3",,
JUP,,Occasionally detected in C complex,junction plakoglobin,"catenin (cadherin-associated protein), gamma (80kD), catenin (cadherin-associated protein), gamma 80kDa, catenin gamma, desmoplakin III, desmoplakin-3",H. sapiens,ENSG00000173801,81745,,,3728,junction plakoglobin,PLAK_HUMAN,"P14923, Q15093, Q15151, Q7L3S5, Q86W21",3IFQ,
WDR70,,Occasionally detected in C complex,WD repeat domain 70,WD repeat-containing protein 70,H. sapiens,ENSG00000082068,73201,,,55100,WD repeat domain 70,WDR70_HUMAN,"Q9NW82, Q9H053",,"Glu-rich, Ser-rich"
YJU2B,,Occasionally detected in C complex,YJU2 splicing factor homolog B,"9 kDa protein, coiled-coil domain-containing protein 130",H. sapiens,ENSG00000104957,44802,,,81576,YJU2 splicing factor homolog B,CC130_HUMAN,"P13994, Q9BQ72",,
TOE1,,Occasionally detected in C complex,"target of EGR1, member 1 (nuclear)",target of EGR1 protein 1,H. sapiens,ENSG00000132773,56548,,Nuclear localization signal,114034,"target of EGR1, member 1 (nuclear)",TOE1_HUMAN,"Q96GM8, Q6IA35, Q8IWN5, Q9H846",2FC6,
ZCCHC10,,Occasionally detected in C complex,"zinc finger, CCHC domain containing 10",zinc finger CCHC domain-containing protein 10,H. sapiens,ENSG00000155329,20967,,,54819,"zinc finger, CCHC domain containing 10",ZCH10_HUMAN,"Q8TBK6, Q9NXR4",,"Poly-Lys, Ser-rich"
TTC14,,Occasionally detected in C complex,tetratricopeptide repeat domain 14,"TPR repeat protein 14, tetratricopeptide repeat protein 14",H. sapiens,ENSG00000163728,88319,S1 motif,,151613,tetratricopeptide repeat domain 14,TTC14_HUMAN,"Q96N46, Q6UWJ7, Q8TF22",,"Poly-Glu, Poly-Ser, Ser-rich"
RBM4B,,Occasionally detected in C complex,RNA binding motif protein 4B,"RNA binding motif protein 30, RNA-binding motif protein 30, RNA-binding motif protein 4B, RNA-binding protein 30, RNA-binding protein 4B",H. sapiens,ENSG00000173914,40150,RRM,,83759,RNA binding motif protein 4B,RBM4B_HUMAN,"Q9BQ04, B3KT83",2DGT,Poly-Ala
