Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
DHX9,,misc. proteins found irregularly with spliceosomes,DEAH (Asp-Glu-Ala-His) box polypeptide 9,"ATP-dependent RNA helicase A, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 9, DEAH box protein 9, leukophysin, nuclear DNA helicase II",H. sapiens,ENSG00000135829,140958,"DRBM, Helicase ATP-binding, Helicase C-terminal","DEIH box, Nuclear localization signal",1660,DEAH (Asp-Glu-Ala-His) box polypeptide 9,DHX9_HUMAN,"Q08211, B2RNV4, Q05CI5, Q12803, Q32Q22",3LLM,
PRPF38B,,misc. proteins found irregularly with spliceosomes,PRP38 pre-mRNA processing factor 38 (yeast) domain containing B,"pre-mRNA-splicing factor 38B, sarcoma antigen NY-SAR-27",H. sapiens,ENSG00000134186,64468,,,55119,PRP38 pre-mRNA processing factor 38 (yeast) domain containing B,PR38B_HUMAN,"Q5VTL8, Q05DD6, Q32Q58, Q5VTL9, Q6PK39",,Arg-rich
TCERG1,,misc. proteins found irregularly with spliceosomes,transcription elongation regulator 1,"TATA box binding protein (TBP)-associated factor, RNA polymerase II, S, 150kD, TATA box-binding protein-associated factor 2S, co-activator of 150 kDa, transcription elongation regulator 1, transcription factor CA150",H. sapiens,ENSG00000113649,123901,"FF, WW",Nuclear localization signal,10915,transcription elongation regulator 1,TCRG1_HUMAN,"O14776, Q2NKN2, Q59EA1","2DK7, 2DOD, 2DOE, 2DOF, 2E71","Ala/Gln-rich, Glu-rich, Poly-Pro, Pro-rich, Thr-rich"
SKIV2L2,,misc. proteins found irregularly with spliceosomes,superkiller viralicidic activity 2-like 2 (S. cerevisiae),"ATP-dependent helicase SKIV2L2, functional spliceosome-associated protein 118, superkiller viralicidic activity 2-like 2",H. sapiens,ENSG00000039123,117805,"Helicase ATP-binding, Helicase C-terminal",DEIH box,23517,superkiller viralicidic activity 2-like 2 (S. cerevisiae),SK2L2_HUMAN,"P42285, Q2M386, Q6MZZ8, Q6P170, Q8N5R0",,
SNRNP27,,misc. proteins found irregularly with spliceosomes,small nuclear ribonucleoprotein 27kDa (U4/U6.U5),"U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein, U4/U6.U5 tri-snRNP-associated 27 kDa protein, U4/U6.U5 tri-snRNP-associated protein 3, U4/U6.U5-27K, putative nucleic acid binding protein RY-1",H. sapiens,ENSG00000124380,18860,,,11017,small nuclear ribonucleoprotein 27kDa (U4/U6.U5),SNRNP27_HUMAN,Q8WVK2,,Arg-rich
KIN,,misc. proteins found irregularly with spliceosomes,"KIN, antigenic determinant of recA protein homolog (mouse)","DNA/RNA-binding protein KIN17, binding to curved DNA",H. sapiens,ENSG00000151657,45374,,,22944,"KIN, antigenic determinant of recA protein homolog (mouse)",KIN17_HUMAN,O60870,"2CKK, 2V1N",
DEK,,misc. proteins found irregularly with spliceosomes,DEK oncogene,"DEK oncogene (DNA binding), protein DEK",H. sapiens,ENSG00000124795,42674,SAP,Nuclear localization signal,7913,DEK oncogene,DEK_HUMAN,"P35659, B2R6K6, B4DN37, Q5TGV4, Q5TGV5","1Q1V, 2JX3","Asp/Glu-rich (acidic), Asp/Glu-rich (highly acidic)"
RUVBL1,,misc. proteins found irregularly with spliceosomes,RuvB-like 1 (E. coli),"49 kDa TATA box-binding protein-interacting protein, 49 kDa TBP-interacting protein, 54 kDa erythrocyte cytosolic protein, ECP-54, INO80 complex subunit H",H. sapiens,ENSG00000175792,50228,,,8607,RuvB-like 1 (E. coli),RUVB1_HUMAN,"Q9Y265, B2R5S0, P82276, Q1KMR0, Q53HK5","2C9O, 2XSZ",
UBL5,,misc. proteins found irregularly with spliceosomes,ubiquitin-like 5,"beacon, ubiquitin-like protein 5",H. sapiens,ENSG00000198258,8547,Ubiquitin-like,,59286,ubiquitin-like 5,UBL5_HUMAN,"Q9BZL1, Q2NL89",1P0R,
ERH,,misc. proteins found irregularly with spliceosomes,enhancer of rudimentary homolog (Drosophila),enhancer of rudimentary homolog,H. sapiens,ENSG00000100632,12259,,,2079,enhancer of rudimentary homolog (Drosophila),ERH_HUMAN,"P84090, B2R5H2, P70659, Q14259","1W9G, 2NML",
NRIP2,,misc. proteins found irregularly with spliceosomes,nuclear receptor interacting protein 2,nuclear receptor-interacting protein 2,H. sapiens,ENSG00000053702,31331,,LXXLL motif,83714,nuclear receptor interacting protein 2,A2RRE3_HUMAN,A2RRE3,,
PRPF39,,misc. proteins found irregularly with spliceosomes,PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae),"PRP39 homolog, pre-mRNA-processing factor 39",H. sapiens,ENSG00000185246,78430,,,55015,PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae),PRP39_HUMAN,"Q86UA1, Q08AL1, Q08AL2, Q9NUU5",,Poly-Pro
