ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46301996	46302154	1	258,104,14,154,62,251,113,153,45	3,0,0,17,2,3,8,7,0	10,0,13,7,1,0,91,71,102,42,1	2,0,0,0,0,0,1,4,0,0,1	382	99	1	1.0	0.957,1.0,1.0,0.701,0.889,0.956,0.785,0.85,1.0	0.564,NA,1.0,1.0,1.0,NA,0.959,0.821,1.0,1.0,0.206	0.065
2	"ENSG00000160298"	"C21orf58"	chr21	-	46314870	46315547	46314870	46315049	46315473	46315547	2	21,16,0,17,4,33,1,7,0	26,23,2,75,25,52,36,41,5	0,0,0,0,0,0,5,4,0,12,2	2,0,8,2,1,0,35,26,0,4,0	523	99	1	1.0	0.133,0.116,0.0,0.041,0.029,0.107,0.005,0.031,0.0	0.0,NA,0.0,0.0,0.0,NA,0.026,0.028,NA,0.362,1.0	-0.126
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	3	81,89,110,103,19,158,77,105,56	210,50,79,120,84,162,191,125,61	50,51,48,87,47,0,74,44,0,73,59	21,9,26,5,15,0,117,65,115,20,38	322	99	1	1.0	0.106,0.354,0.3,0.209,0.065,0.231,0.11,0.205,0.22	0.423,0.635,0.362,0.843,0.491,NA,0.163,0.172,0.0,0.529,0.323	-0.194
4	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	4	2193,709,1100,1744,545,1256,2132,634,580	8,1,4,3,0,1,4,0,3	328,156,223,107,180,0,1686,617,0,443,304	0,0,2,0,0,0,2,0,0,0,2	2353	99	1	1.0	0.92,0.968,0.92,0.961,1.0,0.981,0.957,1.0,0.891	1.0,1.0,0.824,1.0,1.0,NA,0.973,1.0,NA,1.0,0.865	-0.007
5	"ENSG00000160285"	"LSS"	chr21	-	46228433	46228824	46228433	46228599	46228731	46228824	5	0,1,1,0,0,0,5,0,2	5,2,3,0,5,3,9,2,6	0,0,0,0,0,0,7,6,48,0,0	0,0,0,0,0,0,11,2,32,0,0	231	99	1	1.0	0.0,0.176,0.125,NA,0.0,0.0,0.192,0.0,0.125	NA,NA,NA,NA,NA,NA,0.214,0.562,0.391,NA,NA	-0.312
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45267589	45267713	6	25,88,49,4,0,79,1,35,46	55,50,59,46,29,42,36,60,65	0,0,4,0,0,0,24,8,18,0,1	0,0,0,0,2,0,63,26,7,1,2	2053	99	1	1.0	0.021,0.078,0.039,0.004,0.0,0.083,0.001,0.027,0.033	NA,NA,1.0,NA,0.0,NA,0.018,0.015,0.11,0.0,0.024	-0.135
8	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	8	147,141,142,76,128,86,127,236,128	1396,1347,1080,1173,1350,972,1916,963,1103	3,0,3,1,1,0,134,99,33,8,1	25,5,24,4,3,512,1278,625,563,32,25	2321	99	1	1.0	0.004,0.004,0.006,0.003,0.004,0.004,0.003,0.01,0.005	0.005,0.0,0.005,0.011,0.014,0.0,0.004,0.007,0.002,0.011,0.002	-0.001
9	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	9	926,1943,927,592,248,719,474,803,654	1520,1122,1058,1257,1456,1096,2159,1045,1147	3,0,10,1,2,0,1081,367,353,27,6	38,3,26,5,9,516,1325,804,271,42,27	767	99	0.00280131934773	0.0226451952058379	0.073,0.183,0.102,0.057,0.022,0.078,0.028,0.09,0.069	0.01,0.0,0.047,0.025,0.028,0.0,0.095,0.056,0.144,0.077,0.028	0.032
10	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	10	106,134,96,110,123,118,161,124,110	1826,1541,1323,1450,1623,1364,2441,1245,1264	3,0,5,1,1,24,134,76,6,5,3	35,7,25,7,4,772,1676,878,348,36,43	1680	99	1	1.0	0.003,0.005,0.004,0.004,0.004,0.005,0.004,0.006,0.005	0.005,0.0,0.012,0.008,0.015,0.002,0.005,0.005,0.001,0.008,0.004	-0.001
11	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	11	583,1395,971,534,290,601,388,766,867	7,0,0,0,0,2,0,7,1	24,13,13,6,12,620,854,230,337,28,35	0,0,0,0,0,0,0,0,0,1,0	1142	99	0.305171807875	1.0	0.878,1.0,1.0,1.0,1.0,0.963,1.0,0.905,0.987	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.708,1.0	-0.003
16	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357	16	12,0,1,0,0,0,0,0,0	273,0,61,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,5,0,0,0,0,0,0,0	1173	99	1	1.0	0.004,NA,0.001,NA,NA,NA,NA,NA,NA	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	0.003
20	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288312	42287888	42288037	42288210	42288312	20	5,16,64,0,2,100,3,20,24	23,0,15,0,5,318,5,121,4	5,0,1,12,1,123,89,16,0,2,2	6,3,12,2,3,0,23,55,0,1,5	272	99	1	1.0	0.073,1.0,0.608,NA,0.127,0.103,0.179,0.057,0.686	0.233,0.0,0.029,0.686,0.108,1.0,0.585,0.096,NA,0.421,0.127	0.026
