ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160298"	"C21orf58"	chr21	-	46314715	46315049	46314715	46314880	46315473	46315547	1	18,7,19,35,10,80,11,45,79	0,2,12,14,24,46,0,13,21	0,58,43,25,33	0,34,1,4,37	268	99	1	1.0	1.0,0.564,0.369,0.48,0.133,0.391,1.0,0.561,0.582	NA,0.387,0.941,0.698,0.248	-0.004
2	"ENSG00000160298"	"C21orf58"	chr21	-	46317207	46317348	46317207	46317268	46318011	46318220	2	8,4,19,19,15,69,0,18,14	9,21,13,12,21,79,10,16,26	0,33,14,11,22	2,44,13,2,22	179	99	0.414788082999	1.0	0.33,0.095,0.447,0.467,0.283,0.326,0.0,0.384,0.229	0.0,0.293,0.373,0.753,0.356	-0.07
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46251528	46251682	3	408,147,246,235,319,111,10,327,362	0,0,0,0,0,0,0,2,0	59,467,245,181,162	0,0,3,3,0	581	99	0.807133643616	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.965,1.0	1.0,1.0,0.933,0.911,1.0	0.027
4	"ENSG00000215424"	"MCM3AP-AS1"	chr21	+	46240833	46242999	46240836	46242999	46236223	46236326	4	11,0,4,2,16,4,0,17,8	0,0,0,0,0,0,0,6,1	1,12,7,15,1	0,0,0,0,0	102	99	1	1.0	1.0,NA,1.0,1.0,1.0,1.0,NA,0.733,0.886	1.0,1.0,1.0,1.0,1.0	-0.054
5	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	5	0,0,8,0,0,0,0,0,0	12,7,282,20,1,27,0,26,0	0,9,0,0,0	2,196,18,7,5	147	99	1	1.0	0.0,0.0,0.019,0.0,0.0,0.0,NA,0.0,NA	0.0,0.03,0.0,0.0,0.0	-0.003
6	"ENSG00000142173"	"COL6A2"	chr21	+	46128902	46129808	46129195	46129808	46126502	46126541	6	0,0,7,0,0,0,0,10,0	0,0,38,0,0,0,0,12,0	1,4,0,0,0	2,41,3,2,0	392	99	1	1.0	NA,NA,0.044,NA,NA,NA,NA,0.174,NA	0.112,0.024,0.0,0.0,NA	0.075
7	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431	7	4,0,2,0,14,8,0,0,0	4,0,30,15,36,45,10,4,0	0,10,4,0,7	7,104,7,14,45	102	99	1	1.0	0.493,NA,0.061,0.0,0.274,0.147,0.0,0.0,NA	0.0,0.085,0.357,0.0,0.131	0.025
8	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019	8	132,54,75,27,194,24,10,43,85	1,5,0,0,2,0,7,0,6	120,154,44,49,50	7,4,14,8,0	2177	99	0.0605575779893	0.41694184523983474	0.857,0.329,1.0,1.0,0.815,1.0,0.061,1.0,0.392	0.438,0.636,0.125,0.218,1.0	0.234
9	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910599	44910785	9	129,56,7,18,0,8,22,2,55	84,1,2,7,0,3,0,2,12	0,33,22,13,29	0,11,24,16,34	142	99	1	1.0	0.517,0.975,0.709,0.642,NA,0.65,1.0,0.411,0.762	NA,0.677,0.39,0.362,0.373	0.258
10	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785	10	128,60,7,18,0,8,25,2,65	1694,616,73,291,2,186,164,70,675	0,37,22,13,31	7,461,480,282,337	142	99	0.0616535919179	0.4214389583214792	0.05,0.064,0.063,0.041,0.0,0.029,0.096,0.02,0.063	0.0,0.053,0.031,0.031,0.06	0.012
11	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682	11	1055,992,580,566,627,946,693,1505,2053	2,16,11,7,3,0,66,3,6	30,1587,776,531,596	2,10,12,2,2	2430	99	0.882002184567	1.0	0.956,0.716,0.682,0.767,0.895,1.0,0.3,0.953,0.933	0.379,0.866,0.725,0.915,0.924	0.038
