Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
NUP88,,nuclear pore complex,nucleoporin 88kDa,"88 kDa nucleoporin, karyoporin, nuclear pore complex protein 88, nuclear pore complex protein Nup88, nucleoporin Nup88",H. sapiens,ENSG00000108559,83542,,,4927,nucleoporin 88kDa,NUP88_HUMAN,"Q99567, D3DTM2, Q9BWE5",,
NUP107,,nuclear pore complex,nucleoporin 107kDa,"107 kDa nucleoporin, nuclear pore complex protein Nup107, nucleoporin Nup107",H. sapiens,ENSG00000111581,106374,,,57122,nucleoporin 107kDa,NU107_HUMAN,P57740,"3CQC, 3CQG, 3I4R",
NUP160,,nuclear pore complex,nucleoporin 160kDa,"160 kDa nucleoporin, nuclear pore complex protein Nup160, nucleoporin Nup160",H. sapiens,ENSG00000030066,162121,,,23279,nucleoporin 160kDa,NU160_HUMAN,"Q12769, B4DYE8, B4E2J9, Q08AD3, Q7Z5X6",,
NUP133,,nuclear pore complex,nucleoporin 133kDa,"133 kDa nucleoporin, nuclear pore complex protein Nup133, nucleoporin Nup133",H. sapiens,ENSG00000069248,128979,,,55746,nucleoporin 133kDa,NU133_HUMAN,"Q8WUM0, B2RAZ8, Q5T8N0, Q9H9W2, Q9NV71","1XKS, 3CQC, 3CQG, 3I4R",
NUP214,,nuclear pore complex,nucleoporin 214kDa,"214 kDa nucleoporin, CAN protein, putative oncogene, nuclear pore complex protein Nup214, nucleoporin 214kD (CAIN), nucleoporin Nup214",H. sapiens,ENSG00000126883,213620,Leucine-zipper,,8021,nucleoporin 214kDa,NU214_HUMAN,"P35658, A6NFQ0, Q15010, Q3KQZ0, Q5JUP7","2OIT, 3FHC, 3FMO, 3FMP",Pro/Ser/Thr-rich
NUP93,,nuclear pore complex,nucleoporin 93kDa,"93 kDa nucleoporin, nuclear pore complex protein Nup93, nucleoporin Nup93",H. sapiens,ENSG00000102900,93488,,,9688,nucleoporin 93kDa,NUP93_HUMAN,"Q8N1F7, B3KPQ8, Q14705",,
NUP210,,nuclear pore complex,nucleoporin 210kDa,"nuclear envelope pore membrane protein POM 210, nuclear pore membrane glycoprotein 210, nuclear pore protein gp210, nucleoporin Nup210, pore membrane protein of 210 kDa",H. sapiens,ENSG00000132182,205111,"Cytoplasmic, Lumenal",,23225,nucleoporin 210kDa,PO210_HUMAN,"Q8TEM1, A6NN56, O94980, Q6NXG6, Q8NBJ1",,Poly-Ser
NUP54,,nuclear pore complex,nucleoporin 54kDa,"54 kDa nucleoporin, nucleoporin p54",H. sapiens,ENSG00000138750,55435,,,53371,nucleoporin 54kDa,NUP54_HUMAN,"Q7Z3B4, B2RCK7, Q96EA7, Q9NVL5, Q9P0I1",,"Gly-rich, Poly-Gln, Thr-rich"
NUP205,,nuclear pore complex,nucleoporin 205kDa,"205 kDa nucleoporin, nuclear pore complex protein Nup205, nucleoporin Nup205",H. sapiens,ENSG00000155561,227922,,,23165,nucleoporin 205kDa,NU205_HUMAN,"Q92621, A6H8X3, Q86YC1",,
NUP35,,nuclear pore complex,nucleoporin 35kDa,"35 kDa nucleoporin, MP-44, mitotic phosphoprotein 44, nuclear pore complex protein Nup53, nucleoporin NUP53",H. sapiens,ENSG00000163002,34774,RRM Nup35-type,,129401,nucleoporin 35kDa,NUP53_HUMAN,"Q8NFH5, Q4ZFZ9, Q53S95, Q8TDJ1",,
NUP153,,nuclear pore complex,nucleoporin 153kDa,"153 kDa nucleoporin, nuclear pore complex protein Nup153, nuclear pore complex protein hnup153, nucleoporin Nup153",H. sapiens,ENSG00000124789,153938,,,9972,nucleoporin 153kDa,NU153_HUMAN,"P49790, Q5T9I7","2EBQ, 2EBR, 2EBV, 2GQE","Gly-rich, Poly-Gly"
