Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
RNU2-1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"RNA, U2 small nuclear 1",,H. sapiens,ENSG00000222094,61036,,,6066,"RNA, U2 small nuclear 1",,,,
SNRPA1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,small nuclear ribonucleoprotein polypeptide A',"U2 small nuclear ribonucleoprotein A', U2 small nuclear ribonucleoprotein polypeptide A', U2 snRNP A'",H. sapiens,ENSG00000131876,28416,LRRCT,,6627,small nuclear ribonucleoprotein polypeptide A',RU2A_HUMAN,"P09661, B2R5I6, Q8TBD2",1A9N,
SNRPB2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,small nuclear ribonucleoprotein polypeptide B,"U2 small nuclear ribonucleoprotein B'', U2 snRNP B'', small nuclear ribonucleoprotein polypeptide B2",H. sapiens,ENSG00000125870,25486,RRM,,6629,small nuclear ribonucleoprotein polypeptide B,RU2B_HUMAN,"P08579, B2R7J3, D3DW21, Q9UJD4",1A9N,
SF3B1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 1, 155kDa","SAP 155, pre-mRNA processing 10, pre-mRNA splicing factor SF3b, 155 kDa subunit, pre-mRNA-splicing factor SF3b 155 kDa subunit, spliceosome associated protein 155",H. sapiens,ENSG00000115524,145830,,,23451,"splicing factor 3b, subunit 1, 155kDa",SF3B1_HUMAN,O75533,"2F9D, 2F9J, 2FHO, 2PEH, 3LQV",
SF3B2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 2, 145kDa","SAP 145, pre-mRNA splicing factor SF3b 145 kDa subunit, pre-mRNA-splicing factor SF3b 145 kDa subunit, spliceosome associated protein 145, spliceosome-associated protein 145",H. sapiens,ENSG00000087365,100228,SAP,,10992,"splicing factor 3b, subunit 2, 145kDa",SF3B2_HUMAN,"Q13435, A8K485, B4DT19, Q7L4T5, Q7Z627",2DO5,"Poly-Glu, Poly-Lys, Poly-Pro"
SF3B3,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 3, 130kDa","SAP 130, pre-mRNA splicing factor SF3b, 130 kDa subunit, pre-mRNA-splicing factor SF3b 130 kDa subunit, spliceosome-associated protein 130, splicing factor 3B subunit 3",H. sapiens,ENSG00000189091,135578,,,23450,"splicing factor 3b, subunit 3, 130kDa",A8K6V3_HUMAN,A8K6V3,,
SF3B4,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 4, 49kDa","SAP 49, SF3b50, pre-mRNA-splicing factor SF3b 49 kDa subunit, spliceosomal protein, spliceosome-associated protein (U2 snRNP)",H. sapiens,ENSG00000143368,44386,RRM,,10262,"splicing factor 3b, subunit 4, 49kDa",SF3B4_HUMAN,"Q15427, Q5SZ63","1X5T, 1X5U",Poly-Pro
SF3B5,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 5, 10kDa","pre-mRNA-splicing factor SF3b 10 kDa subunit, splicing factor 3B subunit 5",H. sapiens,ENSG00000169976,10135,,,83443,"splicing factor 3b, subunit 5, 10kDa",SF3B5_HUMAN,"Q9BWJ5, B2R568, Q7RTV1",,
PHF5A,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,PHD finger protein 5A,"PHD finger-like domain protein 5A, PHD finger-like domain-containing protein 5A, PHD-finger 5a, splicing factor 3B associated 14 kDa protein, splicing factor 3B-associated 14 kDa protein",H. sapiens,ENSG00000100410,12405,,,84844,PHD finger protein 5A,PHF5A_HUMAN,"Q7RTV0, Q9UH06",,
SF3B6,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,p14,"SF3b 14 kDa subunit, pre-mRNA branch site protein p14, spliceosome-associated protein, 14 kDa subunit",H. sapiens,ENSG00000115128,14585,RRM,,51639,p14,SF3B6_HUMAN,Q9Y3B4,"2F9D, 2F9J, 2FHO, 3LQV",
SF3A1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3a, subunit 1, 120kDa","SAP 114, pre-mRNA processing 21, pre-mRNA splicing factor SF3a (120 kDa subunit), spliceosome associated protein 114, spliceosome-associated protein 114",H. sapiens,ENSG00000099995,88886,Ubiquitin-like,,10291,"splicing factor 3a, subunit 1, 120kDa",SF3A1_HUMAN,Q15459,"1ZKH, 2DT6, 2DT7","Poly-Gln, Poly-Glu, Poly-Pro"
SF3A2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3a, subunit 2, 66kDa","SAP 62, pre-mRNA splicing factor SF3A, subunit 2, spliceosome associated protein 62, spliceosome-associated protein 62, splicing factor 3A subunit 2",H. sapiens,ENSG00000104897,49256,,,8175,"splicing factor 3a, subunit 2, 66kDa",SF3A2_HUMAN,"Q15428, B2RBU1, D6W605, O75245",,Pro-rich
SF3A3,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3a, subunit 3, 60kDa","SAP 61, pre-mRNA splicing factor SF3a (60kD), spliceosome associated protein 61, spliceosome-associated protein 61, splicing factor 3A subunit 3",H. sapiens,ENSG00000183431,58849,,,10946,"splicing factor 3a, subunit 3, 60kDa",SF3A3_HUMAN,"Q12874, D3DPT5, Q15460, Q5VT87",2DT7,Poly-Glu
