Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
HNRNPUL1,,hnRNP,heterogeneous nuclear ribonucleoprotein U-like 1,"E1B 55kDa associated protein 5, E1B-55 kDa-associated protein 5, E1B-55kDa-associated protein 5, adenovirus early region 1B-associated protein 5, heterogeneous nuclear ribonucleoprotein U-like protein 1",H. sapiens,ENSG00000105323,95739,"B30.2/SPRY, SAP",,11100,heterogeneous nuclear ribonucleoprotein U-like 1,HNRL1_HUMAN,"Q9BUJ2, B3KMW7, O76022, Q6ZSZ0, Q7L8P4",,"Asn-rich, Gln-rich, Gly-rich, Pro-rich, Tyr-rich"
FUS,,hnRNP,fused in sarcoma,"75 kDa DNA-pairing protein, RNA-binding protein FUS, fus-like protein, fusion gene in myxoid liposarcoma, heterogeneous nuclear ribonucleoprotein P2",H. sapiens,ENSG00000089280,53426,RRM,,2521,fused in sarcoma,FUS_HUMAN,"P35637, Q9H4A8",2LA6,"Arg/Gly-rich, Gln/Gly/Ser/Tyr-rich, Gly-rich"
HNRNPA0,,hnRNP,heterogeneous nuclear ribonucleoprotein A0,"heterogeneous nuclear ribonucleoprotein A0, hnRNA binding protein, hnRNP A0",H. sapiens,ENSG00000177733,30841,RRM,,10949,heterogeneous nuclear ribonucleoprotein A0,ROA0_HUMAN,"Q13151, Q6IB18",,Gly-rich
PCBP2,,hnRNP,poly(rC) binding protein 2,"alpha-CP2, heterogeneous nuclear ribonucleoprotein E2, heterogenous nuclear ribonucleoprotein E2, hnRNP E2, poly(rC)-binding protein 2",H. sapiens,ENSG00000197111,38580,KH,,5094,poly(rC) binding protein 2,PCBP2_HUMAN,"Q15366, A8K7X6, F8VYL7, Q32Q82, Q68Y55","2AXY, 2JZX, 2P2R, 2PQU, 2PY9",
PCBP1,,hnRNP,poly(rC) binding protein 1,"alpha-CP1, heterogeneous nuclear ribonucleoprotein E1, heterogenous nuclear ribonucleoprotein E1, heterogenous nuclear ribonucleoprotein X, nucleic acid-binding protein SUB2.3",H. sapiens,ENSG00000169564,37498,KH,,5093,poly(rC) binding protein 1,PCBP1_HUMAN,"Q15365, Q13157, Q14975","1WVN, 1ZTG, 3VKE",
HNRNPA1,A complex,hnRNP,heterogeneous nuclear ribonucleoprotein A1,"Putative heterogeneous nuclear ribonucleoprotein A1-like 3, helix-destabilizing protein, heterogeneous nuclear ribonucleoprotein A1, heterogeneous nuclear ribonucleoprotein A1B protein, heterogeneous nuclear ribonucleoprotein B2 protein",H. sapiens,ENSG00000135486,38747,RRM,,3178,heterogeneous nuclear ribonucleoprotein A1,ROA1_HUMAN,"P09651, A8K4Z8, Q3MIB7, Q6PJZ7","1HA1, 1L3K, 1PGZ, 1PO6, 1U1K",Gly-rich
HNRNPA2B1,,hnRNP,heterogeneous nuclear ribonucleoprotein A2/B1,"heterogeneous nuclear ribonucleoproteins A2/B1, hnRNP A2 / hnRNP B1, nuclear ribonucleoprotein particle A2 protein",H. sapiens,ENSG00000122566,37430,RRM,Nuclear localization signal,3181,heterogeneous nuclear ribonucleoprotein A2/B1,ROA2_HUMAN,"P22626, A8K064, P22627, Q9UC98, Q9UDJ2",1X4B,Gly-rich
HNRNPA3,,hnRNP,heterogeneous nuclear ribonucleoprotein A3,"heterogeneous nuclear ribonucleoprotein A3, hnRNP A3",H. sapiens,ENSG00000170144,39595,RRM,,220988,heterogeneous nuclear ribonucleoprotein A3,ROA3_HUMAN,"P51991, D3DPF4, Q53RW7, Q6URK5",,Gly-rich
HNRNPAB,A complex,hnRNP,heterogeneous nuclear ribonucleoprotein A/B,"ABBP-1, APOBEC1-binding protein 1, apobec-1 binding protein 1, apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1-binding protein 1, heterogeneous nuclear ribonucleoprotein A/B",H. sapiens,ENSG00000197451,36225,RRM,,3182,heterogeneous nuclear ribonucleoprotein A/B,ROAA_HUMAN,"Q99729, B3KNN5, D3DWP7, Q04150, Q8N7U3",3S7R,Gly-rich
HNRNPC,"C complex, P complex",hnRNP,heterogeneous nuclear ribonucleoprotein C (C1/C2),"heterogeneous nuclear ribonucleoproteins C1/C2, hnRNP C1/C2, nuclear ribonucleoprotein particle C1 protein, nuclear ribonucleoprotein particle C2 protein",H. sapiens,ENSG00000092199,33670,RRM,Nuclear localization signal,3183,heterogeneous nuclear ribonucleoprotein C (C1/C2),HNRPC_HUMAN,"P07910, D3DS19, D3DS22, P22628, Q53EX2","1TXP, 1WF2, 3LN4",Asp/Glu-rich (acidic)
