Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
SRRT,,pre-mRNA/mRNA binding proteins,serrate RNA effector molecule homolog (Arabidopsis),"arsenate resistance protein 2, arsenate resistance protein ARS2, arsenite resistance protein, arsenite-resistance protein 2, serrate RNA effector molecule homolog",H. sapiens,ENSG00000087087,100666,,,51593,serrate RNA effector molecule homolog (Arabidopsis),SRRT_HUMAN,"Q9BXP5, A4D2E5, A4D2E6, A6NK22, B4DJL4",,"Arg-rich, Glu-rich, Pro-rich"
EWSR1,,pre-mRNA/mRNA binding proteins,Ewing sarcoma breakpoint region 1,"Ewings sarcoma EWS-Fli1 (type 1) oncogene, RNA-binding protein EWS",H. sapiens,ENSG00000182944,68478,"IQ, RRM",,2130,Ewing sarcoma breakpoint region 1,EWS_HUMAN,"Q01844, Q5THL0, Q92635, Q96FE8, Q96MX4",2CPE,Arg/Gly/Pro-rich
RBM15,,pre-mRNA/mRNA binding proteins,RNA binding motif protein 15,"RNA-binding motif protein 15, one twenty two protein, one twenty-two, one-twenty two protein 1, putative RNA-binding protein 15",H. sapiens,ENSG00000162775,107189,"RRM, SPOC",,64783,RNA binding motif protein 15,RBM15_HUMAN,"Q96T37, Q4V760, Q5D058, Q5T613, Q96PE4",,"Arg-rich, Gly/Ser-rich"
IGF2BP3,,pre-mRNA/mRNA binding proteins,insulin-like growth factor 2 mRNA binding protein 3,"IGF II mRNA binding protein 3, IGF-II mRNA-binding protein 3, IGF2 mRNA-binding protein 3, KH domain containing protein overexpressed in cancer, KH domain-containing protein overexpressed in cancer",H. sapiens,ENSG00000136231,63705,"KH, RRM",,10643,insulin-like growth factor 2 mRNA binding protein 3,IF2B3_HUMAN,"O00425, A0A4Z5, Q63HM0, Q6MZZ2, Q86VB1",2E44,
DDX3X,,pre-mRNA/mRNA binding proteins,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked","ATP-dependent RNA helicase DDX3X, CAP-Rf, DEAD box protein 3, X-chromosomal, DEAD box, X isoform, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3",H. sapiens,ENSG00000215301,73243,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",1654,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked",DDX3X_HUMAN,"O00571, A8K538, B4E3E8, O15536","2I4I, 2JGN, 3JRV",Gly/Ser-rich
GCFC1,,pre-mRNA/mRNA binding proteins,GC-rich sequence DNA-binding factor 1,"GC-rich sequence DNA-binding factor 1, GC-rich sequence DNA-binding factor candidate, functional spliceosome-associated protein 105",H. sapiens,ENSG00000159086,104804,,,94104,GC-rich sequence DNA-binding factor 1,GCFC1_HUMAN,"Q9Y5B6, D3DSE7, Q96DU8, Q9NYQ0",,
XRN2,,pre-mRNA/mRNA binding proteins,5'-3' exoribonuclease 2,"5'-3' exoribonuclease 2, DHP protein, Dhm1-like protein (mouse homolog)",H. sapiens,ENSG00000088930,108582,,,22803,5'-3' exoribonuclease 2,XRN2_HUMAN,"Q9H0D6, Q3L8N4, Q6KGZ9, Q9BQL1, Q9NTW0",,
RBM7,,pre-mRNA/mRNA binding proteins,RNA binding motif protein 7,"RNA-binding motif protein 7, RNA-binding protein 7",H. sapiens,ENSG00000076053,30504,RRM,,10179,RNA binding motif protein 7,RBM7_HUMAN,"Q9Y580, B2R6K8, Q9NUT4",,
PABPC1,,pre-mRNA/mRNA binding proteins,"poly(A) binding protein, cytoplasmic 1","poly(A) binding protein, cytoplasmic 2, polyadenylate-binding protein 1",H. sapiens,ENSG00000070756,70671,"PABC, RRM",,26986,"poly(A) binding protein, cytoplasmic 1",PABP1_HUMAN,"P11940, Q15097, Q93004","1CVJ, 1G9L, 1JGN, 1JH4, 2K8G",Poly-Ala
PABPN1,,pre-mRNA/mRNA binding proteins,"poly(A) binding protein, nuclear 1","poly(A) binding protein 2, poly(A) binding protein II, polyadenylate-binding protein 2",H. sapiens,ENSG00000100836,32749,RRM,,8106,"poly(A) binding protein, nuclear 1",PABP2_HUMAN,"Q86U42, D3DS49, O43484","3B4D, 3B4M, 3UCG",Ala-rich
