Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
EIF4A3,"Bact complex, C complex, P complex",EJC/mRNP,eukaryotic translation initiation factor 4A3,"ATP-dependent RNA helicase DDX48, ATP-dependent RNA helicase eIF4A-3, DEAD (Asp-Glu-Ala-Asp) box polypeptide 48, DEAD box protein 48, NMP 265",H. sapiens,ENSG00000141543,46871,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",9775,eukaryotic translation initiation factor 4A3,IF4A3_HUMAN,"P38919, Q15033, Q6IBQ2, Q96A18","2HXY, 2HYI, 2J0Q, 2J0S, 2J0U",
MAGOH,"C complex, P complex",EJC/mRNP,"mago-nashi homolog, proliferation-associated (Drosophila)",protein mago nashi homolog,H. sapiens,ENSG00000162385,17164,,,4116,"mago-nashi homolog, proliferation-associated (Drosophila)",MGN_HUMAN,"P61326, B2R5A2, O35169, P50606, Q5SW69","1P27, 2HYI, 2J0Q, 2J0S, 2XB2",
RBM8A,"C complex, P complex",EJC/mRNP,RNA binding motif protein 8A,"BOV-1, RNA binding motif protein 8B, RNA-binding motif protein 8A, RNA-binding protein 8A, RNA-binding protein Y14",H. sapiens,ENSG00000131795,19889,RRM,,9939,RNA binding motif protein 8A,RBM8A_HUMAN,"Q9Y5S9, B3KQI9, Q6FHD1, Q6IQ40, Q9GZX8","1P27, 2HYI, 2J0Q, 2J0S, 2XB2",
RNPS1,,EJC/mRNP,"RNA binding protein S1, serine-rich domain","RNA-binding protein S1, serine-rich domain, RNA-binding protein with serine-rich domain 1, SR protein, SR-related protein LDC2",H. sapiens,ENSG00000205937,34208,RRM,,10921,"RNA binding protein S1, serine-rich domain",RNPS1_HUMAN,"Q15287, A8K1P0, B4DDU8, B4DZU7, B7ZA17",4A8X,"Arg-rich, Arg/Pro-rich, Lys-rich, Ser-rich"
ALYREF,,EJC/mRNP,Aly/REF export factor,"THO complex 4, THO complex subunit 4, ally of AML-1 and LEF-1, bZIP enhancing factor, bZIP-enhancing factor BEF",H. sapiens,ENSG00000183684,26888,RRM,,10189,THO complex 4,THOC4_HUMAN,"Q86V81, O43672",3ULH,Ala/Arg/Gly-rich
NXT1,,EJC/mRNP,NTF2-like export factor 1,"NTF2-related export protein 1, NTX2-like export factor1, NUTF-like export factor 1, protein p15",H. sapiens,ENSG00000132661,15847,NTF2,,29107,NTF2-like export factor 1,NXT1_HUMAN,Q9UKK6,"1JKG, 1JN5",
NXF1,,EJC/mRNP,nuclear RNA export factor 1,"mRNA export factor TAP, nuclear RNA export factor 1, tip associating protein, tip-associated protein, tip-associating protein",H. sapiens,ENSG00000162231,70182,"NTF2, RRM, TAP-C","Nuclear export signal, Nuclear localization signal",10482,nuclear RNA export factor 1,NXF1_HUMAN,"Q9UBU9, B4E269, Q99799, Q9UQL2","1FO1, 1FT8, 1GO5, 1JKG, 1JN5",Pro-rich
SAP18,"Bact complex, C complex",EJC/mRNP,"Sin3A-associated protein, 18kDa","18 kDa Sin3-associated polypeptide, cell growth inhibiting protein 38, cell growth-inhibiting gene 38 protein, cell growth-inhibiting protein 38, histone deacetlyase complex subunit SAP18",H. sapiens,ENSG00000150459,17561,,,10284,"Sin3A-associated protein, 18kDa",SAP18_HUMAN,"O00422, B2R494, Q2TTR4, Q6IAW9, Q8N606",2HDE,
CASC3,,EJC/mRNP,cancer susceptibility candidate 3,"MLN 51, barentsz, cancer susceptibility candidate gene 3 protein, metastatic lymph node 51, metastatic lymph node gene 51 protein",H. sapiens,ENSG00000108349,76278,,"Nuclear export signal, Nuclear localization signal 1, Nuclear localization signal 2",22794,cancer susceptibility candidate 3,CASC3_HUMAN,"O15234, A8K8R0","2HYI, 2J0Q, 2J0S, 2J0U, 2XB2","Poly-Gly, Poly-Pro"
ACIN1,,EJC/mRNP,apoptotic chromatin condensation inducer 1,"apoptotic chromatin condensation inducer in the nucleus, functional spliceosome-associated protein 152",H. sapiens,ENSG00000100813,151862,SAP,,22985,apoptotic chromatin condensation inducer 1,ACINU_HUMAN,"Q9UKV3, B2RTT4, D3DS45, O75158, Q9UG91",,"Arg/Asp/Glu/Lys-rich, Glu-rich, Pro-rich, Ser-rich"
UPF1,,EJC/mRNP,UPF1 regulator of nonsense transcripts homolog (yeast),"ATP-dependent helicase RENT1, UP Frameshift 1, delta helicase, nonsense mRNA reducing factor 1, regulator of nonsense transcripts 1",H. sapiens,ENSG00000005007,124345,,"[ST]-Q motif 1, [ST]-Q motif 2",5976,UPF1 regulator of nonsense transcripts homolog (yeast),RENT1_HUMAN,"Q92900, O00239, O43343, Q86Z25, Q92842","2GJK, 2GK6, 2GK7, 2IYK, 2WJV","Ala/Gly/Pro-rich, Gln/Ser-rich"
PNN,,EJC/mRNP,"pinin, desmosome associated protein","140 kDa nuclear and cell adhesion-related phosphoprotein, SR-like protein, desmosome-associated protein, domain-rich serine protein, melanoma metastasis clone A protein",H. sapiens,ENSG00000100941,81614,,,5411,"pinin, desmosome associated protein",PININ_HUMAN,"Q9H307, B4DZX8, O60899, Q53EM7, Q6P5X4",,"Arg-rich, Gln-rich, Glu-rich, Ser-rich"
