Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
DDX39A,,other rna binding domain containing,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A,"ATP-dependent RNA helicase DDX39A, DEAD (Asp-Glu-Ala-Asp) box polypeptide 39 transcript, DEAD box protein 39, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 39, UAP56-related helicase, 49 kDa",H. sapiens,ENSG00000123136,49130,"Helicase ATP-binding, Helicase C-terminal","DECD box, Q motif",10212,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A,DX39A_HUMAN,"O00148, Q9BVP6, Q9H5W0",,Poly-Glu
DDX1,,other rna binding domain containing,DEAD (Asp-Glu-Ala-Asp) box helicase 1,"ATP-dependent RNA helicase DDX1, DEAD (Asp-Glu-Ala-Asp) box polypeptide 1, DEAD box polypeptide 1, DEAD box protein 1, DEAD box protein retinoblastoma",H. sapiens,ENSG00000079785,82432,"B30.2/SPRY, Helicase ATP-binding, Helicase C-terminal",DEAD box,1653,DEAD (Asp-Glu-Ala-Asp) box polypeptide 1,DDX1_HUMAN,"Q92499, A3RJH1",,
DDX21,,other rna binding domain containing,DEAD (Asp-Glu-Ala-Asp) box helicase 21,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 21, DEAD box protein 21, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 21, Gu protein, RH II/Gu",H. sapiens,ENSG00000165732,87344,"Helicase ATP-binding, Helicase C-terminal","DEVD box, Q motif",9188,DEAD (Asp-Glu-Ala-Asp) box polypeptide 21,DDX21_HUMAN,"Q9NR30, B2RDL0, Q13436, Q5VX41, Q68D35",,
RBM26,,other rna binding domain containing,RNA binding motif protein 26,"CTCL tumor antigen se70-2, RNA-binding motif protein 26, RNA-binding protein 26, acidic rich RS domain containing 2, cutaneous T-cell lymphoma tumor antigen se70-2",H. sapiens,ENSG00000139746,113597,RRM,,64062,RNA binding motif protein 26,RBM26_HUMAN,"Q5T8P6, B4DZE0, Q2NKM2, Q2NKQ2, Q5CZH8",,"Arg-rich, Pro-rich"
RBM47,,other rna binding domain containing,RNA binding motif protein 47,"RNA-binding motif protein 47, RNA-binding protein 47",H. sapiens,ENSG00000163694,64099,RRM,,54502,RNA binding motif protein 47,RBM47_HUMAN,"A0AV96, A0PJK2, B5MED4, Q8NI52, Q8NI53",2DIS,Ala-rich
ZCCHC8,,other rna binding domain containing,"zinc finger, CCHC domain containing 8",zinc finger CCHC domain-containing protein 8,H. sapiens,ENSG00000033030,78577,,,55596,"zinc finger, CCHC domain containing 8",ZCHC8_HUMAN,"Q6NZY4, Q7L2P6, Q8N2K5, Q96SK7, Q9NSS2",,Pro-rich
ZNF207,,other rna binding domain containing,zinc finger protein 207,zinc finger protein 207,H. sapiens,ENSG00000010244,50751,,,7756,zinc finger protein 207,ZN207_HUMAN,"O43670, A8K6Y6, E1P661, E1P662, Q53XS9",,
RBM42,,other rna binding domain containing,RNA binding motif protein 42,"RNA-binding motif protein 42, RNA-binding protein 42",H. sapiens,ENSG00000126254,50414,RRM,,79171,RNA binding motif protein 42,RBM42_HUMAN,"Q9BTD8, O00320, Q8N5R7, Q9BU66",,Pro-rich
ZFR,,other rna binding domain containing,zinc finger RNA binding protein,"M-phase phosphoprotein homolog, hZFR, zinc finger RNA-binding protein",H. sapiens,ENSG00000056097,117012,DZF,,51663,zinc finger RNA binding protein,ZFR_HUMAN,"Q96KR1, B2RNR5, Q05C08, Q3B7X5, Q6P5A3",,Ala-rich
ZC3H18,,other rna binding domain containing,zinc finger CCCH-type containing 18,"conserved nuclear protein NHN1, nuclear protein NHN1, zinc finger CCCH domain-containing protein 18",H. sapiens,ENSG00000158545,106378,,,124245,zinc finger CCCH-type containing 18,ZCH18_HUMAN,"Q86VM9, Q96DG4, Q96MP7",,"Poly-Asp, Pro-rich, Ser-rich"
