ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46301996	46302154	1	27,5,73,101,85,377,4,40,141	2,0,0,0,5,17,0,0,2	0,158,51,30,185	8,6,2,2,27	382	99	0.000699937057627	0.007755434662102939	0.778,1.0,1.0,1.0,0.815,0.852,1.0,1.0,0.948	0.0,0.872,0.869,0.795,0.64	0.297
2	"ENSG00000160298"	"C21orf58"	chr21	-	46314870	46315547	46314870	46315049	46315473	46315547	2	3,2,29,0,0,15,0,1,7	5,4,5,19,1,36,7,19,32	0,17,7,2,25	0,22,20,14,10	523	99	1	1.0	0.102,0.086,0.523,0.0,0.0,0.073,0.0,0.01,0.04	NA,0.128,0.062,0.026,0.321	-0.042
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	3	93,23,71,52,67,40,0,48,76	159,63,111,71,132,23,4,157,140	21,126,93,47,44	5,174,66,59,44	322	99	0.00443539407173	0.03360884088546378	0.152,0.101,0.164,0.184,0.135,0.348,0.0,0.086,0.143	0.564,0.182,0.302,0.197,0.235	-0.15
4	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	4	1447,365,1012,571,4770,928,864,844,835	6,0,18,4,50,12,0,0,1	76,1811,1263,613,746	0,12,4,2,1	2353	99	0.0989486341526	0.33612486135134834	0.91,1.0,0.703,0.857,0.801,0.765,1.0,1.0,0.972	1.0,0.864,0.93,0.928,0.969	-0.048
5	"ENSG00000160285"	"LSS"	chr21	-	46228433	46228824	46228433	46228599	46228731	46228824	5	0,0,1,0,8,0,0,1,1	3,1,0,0,4,0,0,0,3	0,3,0,5,6	0,3,3,2,0	231	99	1	1.0	0.0,0.0,1.0,NA,0.462,NA,NA,1.0,0.125	NA,0.3,0.0,0.517,1.0	-0.023
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45267589	45267713	6	43,16,9,15,99,3,4,4,32	61,64,52,19,100,13,21,24,56	22,72,10,13,34	107,57,29,42,16	2053	99	0.293177848495	0.7131669990770685	0.033,0.012,0.008,0.037,0.046,0.011,0.009,0.008,0.027	0.01,0.057,0.016,0.015,0.093	-0.017
7	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44891808	44891935	44891936	44891996	7	7182,1953,418,1058,12,904,580,227,1859	2,0,0,0,0,0,0,0,0	28,905,1265,708,933	0,0,0,0,0	100	99	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0	0.0
8	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	8	71,75,45,67,83,66,128,110,211	911,979,679,564,553,876,601,1261,1835	5,115,73,47,80	33,1519,752,466,506	2321	99	1	1.0	0.003,0.003,0.003,0.005,0.006,0.003,0.009,0.004,0.005	0.006,0.003,0.004,0.004,0.007	-0.0
9	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	9	465,372,228,184,516,1172,1208,367,651	976,950,648,623,522,728,500,1433,1834	150,862,1060,325,473	24,1655,605,546,602	767	99	0.00199916426381	0.01782177174834797	0.058,0.048,0.043,0.037,0.113,0.172,0.238,0.032,0.044	0.447,0.063,0.184,0.071,0.092	-0.084
10	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	10	101,109,51,51,57,66,117,109,165	1082,1059,748,742,654,1069,783,1624,2211	4,105,68,46,52	60,1807,753,602,673	1680	99	1	1.0	0.005,0.006,0.004,0.004,0.005,0.004,0.009,0.004,0.004	0.004,0.003,0.005,0.004,0.005	0.001
11	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	11	505,328,230,209,308,737,1220,357,688	0,4,6,0,1,0,0,0,4	113,508,676,188,263	0,2,3,1,8	1142	99	0.0140923257084	0.07957421415632596	1.0,0.877,0.769,1.0,0.964,1.0,1.0,1.0,0.937	1.0,0.957,0.951,0.942,0.74	0.032
13	"ENSG00000160224"	"AIRE"	chr21	+	44288344	44289802	44288344	44288458	44289656	44289802	13	0,14,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,6,0,0,0	1,0,0,0,0	1297	99	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA	0.0,1.0,NA,NA,NA	0.5
20	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288312	42287888	42288037	42288210	42288312	20	129,7,1,16,0,12,37,10,5	230,0,10,37,3,19,0,4,17	45,32,101,20,24	0,106,20,68,86	272	99	0.545913522252	1.0	0.17,1.0,0.035,0.136,0.0,0.187,1.0,0.476,0.097	1.0,0.099,0.648,0.097,0.092	-0.043
21	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288312	42287888	42288073	42288210	42288312	21	39,7,0,12,0,1,8,6,1	233,50,10,17,13,68,123,4,20	10,10,19,8,13	117,98,319,36,38	236	99	0.809540303886	1.0	0.066,0.055,0.0,0.228,0.0,0.006,0.027,0.386,0.021	0.035,0.041,0.024,0.085,0.125	0.026
23	"ENSG00000173276"	"ZBTB21"	chr21	-	41986830	41994108	41986830	41991889	41992492	41994108	23	470,156,46,71,223,58,163,113,327	34,2,0,7,7,0,0,8,10	241,664,1466,252,59	26,20,109,36,3	702	99	0.00200342914973	0.01782596618452943	0.661,0.917,1.0,0.589,0.818,1.0,1.0,0.666,0.822	0.567,0.824,0.655,0.497,0.735	0.175
24	"ENSG00000157601"	"MX1"	chr21	+	41421837	41422095	41421837	41421871	41421974	41422095	24	1,0,11,0,5,0,0,0,0	0,0,8,0,3,0,0,0,0	6,17,16,8,6	0,3,2,2,16	202	99	1	1.0	1.0,NA,0.403,NA,0.45,NA,NA,NA,NA	1.0,0.735,0.797,0.662,0.155	-0.052
26	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39347292	39345829	39345958	39347246	39347292	26	2367,1254,2033,1591,7307,1124,1379,1947,3435	21,64,13,6,148,19,0,47,53	1671,3053,2834,843,1590	1,7,34,20,15	1387	99	0.0109562842345	0.06650209733033721	0.889,0.583,0.918,0.95,0.779,0.809,1.0,0.747,0.822	0.992,0.969,0.856,0.751,0.883	-0.057
