ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000160299"	"PCNT"	chr21	+	46431528	46432215	46431528	46431978	46435903	46436148	0	74,32,18,69,43,86,93,70,22	22,6,1,4,6,13,8,33,1	11,0,6,6,2,0,75,62,58,5,13	4,0,0,2,2,0,3,8,0,4,5	336	99	1	1.0	0.498,0.611,0.841,0.836,0.679,0.661,0.774,0.385,0.866	0.448,NA,1.0,0.469,0.228,NA,0.88,0.695,1.0,0.269,0.434	0.081
1	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46222662	46222738	46221853	46221975	1	178,33,92,87,36,74,199,37,45	12,2,12,19,0,3,7,4,3	4,1,4,0,0,0,131,47,0,8,1	0,0,0,0,0,0,20,1,0,2,0	132	99	1	1.0	0.918,0.925,0.852,0.774,1.0,0.949,0.955,0.874,0.918	1.0,1.0,1.0,NA,NA,NA,0.831,0.972,NA,0.75,1.0	-0.029
2	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282348	45282459	2	7,1,14,1,2,4,1,5,10	50,42,47,29,23,65,24,44,34	0,0,0,0,0,0,8,0,0,0,0	0,0,0,1,0,0,34,14,34,2,1	130	99	1	1.0	0.096,0.018,0.185,0.026,0.062,0.045,0.031,0.08,0.183	NA,NA,NA,0.0,NA,NA,0.152,0.0,0.0,0.0,0.0	0.055
3	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398	3	3,0,12,1,3,4,2,3,1	7,0,2,0,4,2,0,0,3	0,0,0,0,0,0,4,0,0,0,0	1,0,0,0,0,0,0,2,0,1,0	130	99	1	1.0	0.246,NA,0.82,1.0,0.364,0.604,1.0,1.0,0.202	0.0,NA,NA,NA,NA,NA,1.0,0.0,NA,0.0,NA	0.404
4	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910372	4	33,19,5,0,14,82,13,64,12	286,562,732,34,668,1329,152,587,546	18,2,11,3,2,0,70,22,10,13,7	168,34,72,39,3,73,1442,429,327,23,54	224	99	0.0483819368505	0.5706956638417112	0.049,0.015,0.003,0.0,0.009,0.027,0.036,0.046,0.01	0.045,0.025,0.063,0.033,0.228,0.0,0.021,0.022,0.013,0.2,0.054	-0.042
5	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910415	5	12,10,2,0,6,41,6,17,4	1,0,0,0,20,2,0,0,8	11,1,6,2,2,0,29,8,0,5,2	10,1,0,0,0,0,2,0,0,0,3	224	99	1	1.0	0.841,1.0,1.0,NA,0.117,0.901,1.0,1.0,0.181	0.327,0.307,1.0,1.0,1.0,NA,0.865,1.0,NA,1.0,0.228	0.008
6	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44805616	44807040	6	40,51,95,33,28,79,42,13,59	2105,1693,2767,1632,1441,2986,2572,852,2314	20,5,15,4,0,23,161,25,0,7,18	304,33,321,102,40,603,5523,1293,631,168,452	149	99	0.0532046598643	0.6178487668464482	0.012,0.02,0.022,0.013,0.013,0.017,0.011,0.01,0.017	0.042,0.091,0.03,0.025,0.0,0.025,0.019,0.013,0.0,0.027,0.026	-0.012
7	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44808270	44808568	7	38,43,77,24,26,79,33,13,58	7,10,25,13,3,0,17,0,19	20,5,15,4,0,23,145,25,0,7,18	2,0,1,0,0,0,6,2,0,0,0	149	99	1	1.0	0.783,0.741,0.672,0.551,0.852,1.0,0.563,1.0,0.67	0.869,1.0,0.909,1.0,NA,1.0,0.941,0.893,NA,1.0,1.0	-0.198
8	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44813975	44814104	44809046	44809118	8	21,55,64,22,36,66,37,23,37	1668,1320,2230,1194,1117,2496,2030,757,1826	5,3,10,1,1,22,102,23,4,1,6	298,25,247,81,28,507,4272,1017,486,118,355	213	99	0.467943566198	1.0	0.006,0.019,0.013,0.008,0.015,0.012,0.008,0.014,0.009	0.008,0.053,0.018,0.006,0.016,0.02,0.011,0.01,0.004,0.004,0.008	-0.003
9	"ENSG00000160214"	"RRP1"	chr21	+	43789512	43789762	43789512	43789695	43791349	43791432	9	481,105,147,49,202,298,203,224,44	2,0,0,0,0,0,0,0,0	22,0,23,2,2,0,176,208,296,13,5	0,0,0,0,0,0,0,0,0,0,0	166	99	1	1.0	0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,NA,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0	-0.001
