ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46301996	46302154	1	34,49,0,16	2,0,0,0	141,40,5,101,27,73,85,377,4	2,0,0,0,2,0,5,17,0	357	74	1	1.0	0.779,1.0,NA,1.0	0.936,1.0,1.0,1.0,0.737,1.0,0.779,0.821,1.0	0.007
2	"ENSG00000160298"	"C21orf58"	chr21	-	46314870	46315547	46314870	46315049	46315473	46315547	2	11,7,0,8	10,12,0,7	7,1,2,0,3,29,0,15,0	32,19,4,19,5,5,1,36,7	498	74	1	1.0	0.14,0.08,NA,0.145	0.031,0.008,0.069,0.0,0.082,0.463,0.0,0.058,0.0	0.043
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	3	34,59,79,105	22,76,0,18	76,48,23,52,93,71,67,40,0	140,157,63,71,159,111,132,23,4	297	74	0.000181697716882	0.00186416063061	0.278,0.162,1.0,0.592	0.119,0.071,0.083,0.154,0.127,0.137,0.112,0.302,0.0	0.385
4	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	4	745,542,4,528	0,0,0,0	835,844,365,571,1447,1012,4770,928,864	1,0,0,4,6,18,50,12,0	2328	74	1.43263820807e-08	5.46830719419e-07	1.0,1.0,1.0,1.0	0.964,1.0,1.0,0.819,0.885,0.641,0.752,0.711,1.0	0.136
5	"ENSG00000160285"	"LSS"	chr21	-	46228433	46228824	46228433	46228599	46228731	46228824	5	2,0,0,0	2,2,0,0	1,1,0,0,0,1,8,0,0	3,0,1,0,3,0,4,0,0	206	74	1	1.0	0.264,0.0,NA,NA	0.107,1.0,0.0,NA,0.0,1.0,0.418,NA,NA	-0.289
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45267589	45267713	6	34,12,13,38	39,45,55,34	32,4,16,15,43,9,99,3,4	56,24,64,19,61,52,100,13,21	2028	74	0.675248350575	1.0	0.031,0.01,0.009,0.039	0.02,0.006,0.009,0.028,0.025,0.006,0.035,0.008,0.007	0.006
7	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44891808	44891935	44891936	44891996	7	947,1689,242,118	0,0,0,0	1859,227,1953,1058,7182,418,12,904,580	0,0,0,0,2,0,0,0,0	75	74	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.0
8	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	8	96,76,123,29	685,868,265,250	211,110,75,67,71,45,83,66,128	1835,1261,979,564,911,679,553,876,601	2296	74	0.53204016421	1.0	0.004,0.003,0.015,0.004	0.004,0.003,0.002,0.004,0.003,0.002,0.005,0.002,0.007	0.003
9	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	9	567,373,2117,492	697,865,92,192	651,367,372,184,465,228,516,1172,1208	1834,1433,950,623,976,648,522,728,500	742	74	0.00220056076947	0.0152716882984	0.075,0.041,0.696,0.204	0.034,0.025,0.038,0.029,0.045,0.034,0.09,0.138,0.194	0.184
10	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	10	76,92,30,29	866,1056,474,257	165,109,109,51,101,51,57,66,117	2211,1624,1059,742,1082,748,654,1069,783	1655	74	1	1.0	0.004,0.004,0.003,0.005	0.003,0.003,0.005,0.003,0.004,0.003,0.004,0.003,0.007	0.0
