ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46302484	46302576	1	504,413,695,255,465,228	0,0,0,0,0,0	98,55,172,191,209,302,312,125,19	0,0,0,0,0,0,1,0,0	591	150	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.988,1.0,1.0	0.001
2	"ENSG00000160298"	"C21orf58"	chr21	-	46314715	46315049	46314715	46314880	46315473	46315547	2	230,104,92,73,157,39	35,73,111,50,66,24	29,16,64,80,109,123,77,50,5	0,11,5,18,24,27,55,18,4	319	150	0.0215402938243	0.155264938141	0.756,0.401,0.28,0.407,0.528,0.433	1.0,0.406,0.858,0.676,0.681,0.682,0.397,0.566,0.37	-0.159
3	"ENSG00000160298"	"C21orf58"	chr21	-	46317207	46317348	46317207	46317268	46318011	46318220	3	60,54,93,47,63,4	80,80,134,64,88,42	39,5,28,23,26,52,30,10,0	23,15,26,47,76,52,49,25,2	230	150	0.907498106017	1.0	0.328,0.306,0.312,0.324,0.318,0.058	0.525,0.179,0.413,0.242,0.182,0.395,0.285,0.207,0.0	0.005
4	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46251528	46251682	4	418,492,527,360,508,584	2,0,0,2,2,0	181,192,498,350,338,450,516,230,289	0,0,0,0,0,1,0,0,0	632	150	1	1.0	0.98,1.0,1.0,0.977,0.984,1.0	1.0,1.0,1.0,1.0,1.0,0.991,1.0,1.0,1.0	-0.009
5	"ENSG00000215424"	"MCM3AP-AS1"	chr21	+	46240833	46242999	46240836	46242999	46236223	46236326	5	11,7,17,9,17,12	0,0,0,0,0,0	3,2,7,17,5,20,8,2,1	0,0,5,2,0,0,0,0,0	153	150	0.635838875442	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.579,0.893,1.0,1.0,1.0,1.0,1.0	0.059
6	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	6	0,0,0,0,0,1	2,1,0,1,3,1	0,0,0,0,0,0,0,0,0	10,6,30,0,16,7,2,3,0	198	150	1	1.0	0.0,0.0,NA,0.0,0.0,0.431	0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA	0.086
7	"ENSG00000142173"	"COL6A2"	chr21	+	46128902	46129808	46129195	46129808	46126502	46126541	7	0,0,0,0,0,0	0,0,0,2,1,5	8,3,0,0,0,0,0,0,0	0,6,6,0,0,0,0,2,0	443	150	1	1.0	NA,NA,NA,0.0,0.0,0.0	1.0,0.145,0.0,NA,NA,NA,NA,0.0,NA	-0.286
8	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431	8	3,15,17,8,21,48	13,59,74,32,63,140	0,0,0,0,0,0,12,0,2	1,0,0,5,0,2,103,0,4	153	150	1	1.0	0.185,0.2,0.184,0.197,0.246,0.252	0.0,NA,NA,0.0,NA,0.0,0.103,NA,0.329	0.124
9	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019	9	64,98,190,77,119,85	0,1,0,0,0,0	45,85,36,72,49,129,89,126,106	0,14,12,2,3,3,0,3,6	2228	150	1.69808611616e-12	4.56270593697e-10	1.0,0.868,1.0,1.0,1.0,1.0	1.0,0.29,0.168,0.708,0.524,0.743,1.0,0.739,0.543	0.343
10	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45285677	45285928	10	21,14,66,22,46,16	0,0,6,0,0,6	0,47,1,30,0,77,23,87,45	0,1,0,0,0,0,1,0,2	2228	150	1	1.0	1.0,1.0,0.425,1.0,1.0,0.152	NA,0.76,1.0,1.0,NA,1.0,0.608,1.0,0.602	-0.09
11	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910599	44910785	11	23,17,32,12,27,16	34,8,16,6,18,17	69,43,16,61,6,123,19,54,35	8,8,7,47,0,48,21,11,3	193	150	0.00128958423445	0.0182663632698	0.345,0.623,0.609,0.609,0.538,0.422	0.87,0.807,0.64,0.502,1.0,0.666,0.413,0.792,0.901	-0.208
12	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785	12	24,17,32,12,27,16	392,273,400,239,406,289	89,51,16,61,6,118,20,52,35	668,546,152,587,34,1329,286,562,732	193	150	0.00107703988387	0.0157600203739	0.045,0.046,0.059,0.038,0.049,0.041	0.094,0.068,0.076,0.075,0.121,0.065,0.052,0.067,0.036	-0.026
13	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682	13	1413,1714,2013,1517,1519,1812	12,11,5,3,9,13	1502,1235,2012,1204,1221,1128,1559,1393,1198	12,22,11,7,11,1,4,35,56	2481	150	0.00115685043933	0.0167337566811	0.877,0.904,0.961,0.968,0.911,0.894	0.883,0.772,0.917,0.912,0.87,0.986,0.959,0.706,0.564	0.078
