ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46301996	46302154	1	83,24,655,0,9	0,4,22,0,0	62,45,113,153,154,251,258,104,14	2,0,8,7,17,3,3,0,0	357	74	1	1.0	1.0,0.554,0.861,NA,1.0	0.865,1.0,0.745,0.819,0.653,0.945,0.947,1.0,1.0	-0.032
2	"ENSG00000160298"	"C21orf58"	chr21	-	46314870	46315547	46314870	46315049	46315473	46315547	2	1,0,97,0,4	14,0,135,0,0	4,0,1,7,17,33,21,16,0	25,5,36,41,75,52,26,23,2	498	74	1	1.0	0.011,NA,0.096,NA,1.0	0.023,0.0,0.004,0.025,0.033,0.086,0.107,0.094,0.0	0.328
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	3	28,18,134,58,165	48,22,77,79,53	19,56,77,105,103,158,81,89,110	84,61,191,125,120,162,210,50,79	297	74	0.0263368048917	0.117964267285	0.127,0.169,0.302,0.155,0.437	0.053,0.186,0.091,0.173,0.176,0.195,0.088,0.307,0.258	0.068
4	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	4	336,794,1487,211,728	2,8,16,0,9	545,580,2132,634,1744,1256,2193,709,1100	0,3,4,0,3,1,8,1,4	2328	74	5.42387671554e-07	1.64143637444e-05	0.842,0.759,0.747,1.0,0.72	1.0,0.86,0.944,1.0,0.949,0.976,0.897,0.958,0.897	-0.129
5	"ENSG00000160285"	"LSS"	chr21	-	46228433	46228824	46228433	46228599	46228731	46228824	5	1,4,1,0,2	0,0,3,0,0	0,2,5,0,0,0,0,1,1	5,6,9,2,0,3,5,2,3	206	74	1	1.0	1.0,1.0,0.107,NA,1.0	0.0,0.107,0.166,0.0,NA,0.0,0.0,0.152,0.107	0.71
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45267589	45267713	6	9,7,76,100,83	26,24,59,49,70	0,46,1,35,4,79,25,88,49	29,65,36,60,46,42,55,50,59	2028	74	0.000118792768436	0.00149711434193	0.012,0.011,0.045,0.069,0.041	0.0,0.025,0.001,0.021,0.003,0.064,0.016,0.06,0.029	0.011
8	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	8	69,63,129,90,84	689,706,767,367,624	128,128,127,236,76,86,147,141,142	1350,1103,1916,963,1173,972,1396,1347,1080	2296	74	1	1.0	0.003,0.003,0.005,0.008,0.004	0.003,0.004,0.002,0.008,0.002,0.003,0.003,0.003,0.004	0.001
9	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	9	268,261,837,1091,860	695,844,783,333,617	248,654,474,803,592,719,926,1943,927	1456,1147,2159,1045,1257,1096,1520,1122,1058	742	74	0.000111714820035	0.00143544182168	0.037,0.03,0.096,0.246,0.122	0.017,0.054,0.021,0.071,0.045,0.061,0.057,0.147,0.08	0.045
10	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	10	73,59,115,59,72	799,967,898,588,805	123,110,161,124,110,118,106,134,96	1623,1264,2441,1245,1450,1364,1826,1541,1323	1655	74	1	1.0	0.004,0.003,0.006,0.004,0.004	0.003,0.004,0.003,0.004,0.003,0.004,0.003,0.004,0.003	0.001
11	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	11	230,383,970,969,783	0,0,23,0,0	290,867,388,766,534,601,583,1395,971	0,1,0,7,0,2,7,0,0	1117	74	0.00946578404296	0.0529493217039	1.0,1.0,0.736,1.0,1.0	1.0,0.983,1.0,0.879,1.0,0.952,0.847,1.0,1.0	-0.015
