Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
SNRPB,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptides B and B1,"B polypeptide of Sm protein, Sm protein B/B', sm-B/Sm-B', small nuclear ribonucleoprotein polypeptide B, small nuclear ribonucleoprotein polypeptides B and B'",H. sapiens,ENSG00000125835,24610,,,6628,small nuclear ribonucleoprotein polypeptides B and B1,RSMB_HUMAN,"P14678, Q15490, Q6IB35, Q9UIS5","1D3B, 2Y9A, 2Y9B, 2Y9C, 2Y9D",
SNRPD1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein D1 polypeptide 16kDa,"Sm-D autoantigen, small nuclear ribonucleoprotein D1 polypeptide 16kDa pseudogene, small nuclear ribonucleoprotein Sm D1, snRNP core protein D1",H. sapiens,ENSG00000167088,13282,,,6632,small nuclear ribonucleoprotein D1 polypeptide 16kDa,SMD1_HUMAN,"P62314, B5BTZ1, P13641","1B34, 2Y9A, 2Y9B, 2Y9C, 2Y9D",Arg/Lys-rich (basic)
SNRPD2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein D2 polypeptide 16.5kDa,"small nuclear ribonucleoprotein Sm D2, snRNP core protein D2",H. sapiens,ENSG00000125743,13527,,,6633,small nuclear ribonucleoprotein D2 polypeptide 16.5kDa,SMD2_HUMAN,"P62316, A8K797, P43330","1B34, 2Y9A, 2Y9B, 2Y9C, 2Y9D",
SNRPD3,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein D3 polypeptide 18kDa,"small nuclear ribonucleoprotein Sm D3, small nuclear ribonucleoprotein polypeptide D3, snRNP core protein D3",H. sapiens,ENSG00000100028,13916,,,6634,small nuclear ribonucleoprotein D3 polypeptide 18kDa,SMD3_HUMAN,"P62318, B5BU13, P43331","1D3B, 2Y9A, 2Y9B, 2Y9C, 2Y9D",Arg/Lys-rich (basic)
SNRPE,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptide E,"sm protein E, small nuclear ribonucleoprotein E, snRNP-E",H. sapiens,ENSG00000182004,10804,,,6635,small nuclear ribonucleoprotein polypeptide E,RUXE_HUMAN,"P62304, B2R5B9, P08578, Q15498, Q5BKT2","2Y9A, 2Y9B, 2Y9C, 2Y9D, 3CW1",
SNRPF,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptide F,"sm protein F, small nuclear ribonucleoprotein F",H. sapiens,ENSG00000139343,9725,,,6636,small nuclear ribonucleoprotein polypeptide F,RUXF_HUMAN,"P62306, A2VCR2, B2R498, Q15356, Q6IBQ1","2Y9A, 2Y9B, 2Y9C, 2Y9D, 3CW1",
SNRPG,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptide G,"sm protein G, small nuclear ribonucleoprotein G, snRNP-G",H. sapiens,ENSG00000143977,8496,,,6637,small nuclear ribonucleoprotein polypeptide G,RUXG_HUMAN,"P62308, D6W5G6, Q15357, Q6IB86","2Y9A, 2Y9B, 2Y9C, 2Y9D, 3CW1",
RNU1-1,"A complex, B complex, U1 snRNP",U1 snRNP,"RNA, U1 small nuclear 1",,H. sapiens,ENSG00000206652,53364,,,26871,"RNU1-1 RNA, U1 small nuclear 1",,,,
SNRPA,"A complex, B complex, U1 snRNP",U1 snRNP,small nuclear ribonucleoprotein polypeptide A,"U1 small nuclear RNP-specific A, U1 small nuclear ribonucleoprotein A, U1 snRNP A, U1 snRNP-specific protein A",H. sapiens,ENSG00000077312,31280,RRM,,6626,small nuclear ribonucleoprotein polypeptide A,SNRPA_HUMAN,P09012,"1AUD, 1CX0, 1DRZ, 1DZ5, 1FHT",Pro-rich
SNRNP70,"A complex, B complex, U1 snRNP",U1 snRNP,small nuclear ribonucleoprotein 70kDa (U1),"U1 small nuclear ribonucleoprotein 70 kDa, U1 snRNP 70 kDa",H. sapiens,ENSG00000104852,51557,RRM,,6625,small nuclear ribonucleoprotein 70kDa (U1),RU17_HUMAN,"P08621, B3KUA3, P78493, P78494, Q15364","2L5I, 2L5J, 3CW1, 3PGW","Arg/Asp/Glu-rich (mixed charge), Arg/Glu-rich (mixed charge), Poly-Gly"
SNRPC,"A complex, B complex, U1 snRNP",U1 snRNP,small nuclear ribonucleoprotein polypeptide C,"U1 small nuclear RNP specific C, U1 small nuclear ribonucleoprotein C, U1 snRNP C, U1 snRNP protein C",H. sapiens,ENSG00000124562,17394,,,6631,small nuclear ribonucleoprotein polypeptide C,RU1C_HUMAN,"P09234, Q5TAL3","2VRD, 3CW1",Met/Pro-rich
