ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000160299"	"PCNT"	chr21	+	46431528	46432215	46431528	46431978	46435903	46436148	0	25,29,75,16,94	3,0,27,3,9	43,22,93,70,69,86,74,32,18	6,1,8,33,4,13,22,6,1	311	74	0.679303731381	1.0	0.665,1.0,0.398,0.559,0.713	0.63,0.84,0.734,0.335,0.804,0.612,0.445,0.559,0.811	0.026
1	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46222662	46222738	46221853	46221975	1	29,52,51,5,44	0,3,16,0,0	36,45,199,37,87,74,178,33,92	0,3,7,4,19,3,12,2,12	107	74	0.820639421693	1.0	1.0,0.923,0.688,1.0,1.0	1.0,0.912,0.952,0.865,0.76,0.945,0.911,0.919,0.841	0.022
2	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282348	45282459	2	5,2,3,4,12	38,10,24,36,53	2,10,1,5,1,4,7,1,14	23,34,24,44,29,65,50,42,47	105	74	0.417419645705	1.0	0.085,0.124,0.081,0.073,0.138	0.058,0.172,0.029,0.074,0.024,0.042,0.09,0.017,0.174	0.025
3	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398	3	14,1,0,4,3	2,0,0,9,3	3,1,2,3,1,4,3,0,12	4,3,0,0,0,2,7,0,2	105	74	1	1.0	0.831,1.0,NA,0.239,0.413	0.346,0.19,1.0,1.0,1.0,0.585,0.232,NA,0.809	-0.025
4	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910372	4	53,13,0,3,5	413,376,142,174,126	14,12,13,64,0,82,33,19,5	668,546,152,587,34,1329,286,562,732	199	74	0.446565738448	1.0	0.046,0.013,0.0,0.006,0.015	0.008,0.008,0.031,0.039,0.0,0.022,0.041,0.012,0.003	-0.002
5	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910415	5	29,4,10,0,3	1,0,0,0,0	6,4,6,17,0,41,12,10,2	20,8,0,0,0,2,1,0,0	199	74	1	1.0	0.915,1.0,1.0,NA,1.0	0.1,0.157,1.0,1.0,NA,0.884,0.817,1.0,1.0	0.234
6	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44805616	44807040	6	31,56,50,78,49	1049,2029,1203,2085,1815	28,59,42,13,33,79,40,51,95	1441,2314,2572,852,1632,2986,2105,1693,2767	124	74	0.00175038675649	0.0211639157951	0.017,0.016,0.024,0.022,0.016	0.011,0.015,0.01,0.009,0.012,0.016,0.011,0.018,0.02	0.005
7	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44808270	44808568	7	31,36,49,57,32	6,0,10,5,18	26,58,33,13,24,79,38,43,77	3,19,17,0,13,0,7,10,25	124	74	0.507277795682	1.0	0.755,1.0,0.745,0.872,0.515	0.838,0.646,0.537,1.0,0.524,1.0,0.764,0.72,0.648	0.036
8	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44813975	44814104	44809046	44809118	8	29,43,35,29,70	910,1646,1028,1642,1158	36,37,37,23,22,66,21,55,64	1117,1826,2030,757,1194,2496,1668,1320,2230	188	74	0.0935882194333	0.475356557176	0.012,0.01,0.013,0.007,0.023	0.013,0.008,0.007,0.012,0.007,0.01,0.005,0.016,0.011	0.003
9	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316431	44316524	9	723,862,946,547,667	0,1,0,0,0	1442,1308,2224,1168,1275,1122,1552,1488,1232	0,0,0,0,0,0,0,0,0	2392	74	1	1.0	1.0,0.964,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.007
10	"ENSG00000160214"	"RRP1"	chr21	+	43789512	43789762	43789512	43789695	43791349	43791432	10	75,82,376,115,42	0,0,2,0,0	202,44,203,224,49,298,481,105,147	0,0,0,0,0,0,2,0,0	141	74	1	1.0	1.0,1.0,0.99,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.992,1.0,1.0	-0.001
11	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43732138	43732442	43734068	43734123	11	4,6,1,0,0	4,0,0,0,1	0,0,0,0,0,2,0,10,4	0,0,2,1,0,0,5,0,0	279	74	1	1.0	0.21,1.0,1.0,NA,0.0	NA,NA,0.0,0.0,NA,1.0,0.0,1.0,1.0	0.052
