Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
SNRPB,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptides B and B1,"B polypeptide of Sm protein, Sm protein B/B', sm-B/Sm-B', small nuclear ribonucleoprotein polypeptide B, small nuclear ribonucleoprotein polypeptides B and B'",H. sapiens,ENSG00000125835,24610,,,6628,small nuclear ribonucleoprotein polypeptides B and B1,RSMB_HUMAN,"P14678, Q15490, Q6IB35, Q9UIS5","1D3B, 2Y9A, 2Y9B, 2Y9C, 2Y9D",
SNRPD1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein D1 polypeptide 16kDa,"Sm-D autoantigen, small nuclear ribonucleoprotein D1 polypeptide 16kDa pseudogene, small nuclear ribonucleoprotein Sm D1, snRNP core protein D1",H. sapiens,ENSG00000167088,13282,,,6632,small nuclear ribonucleoprotein D1 polypeptide 16kDa,SMD1_HUMAN,"P62314, B5BTZ1, P13641","1B34, 2Y9A, 2Y9B, 2Y9C, 2Y9D",Arg/Lys-rich (basic)
SNRPD2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein D2 polypeptide 16.5kDa,"small nuclear ribonucleoprotein Sm D2, snRNP core protein D2",H. sapiens,ENSG00000125743,13527,,,6633,small nuclear ribonucleoprotein D2 polypeptide 16.5kDa,SMD2_HUMAN,"P62316, A8K797, P43330","1B34, 2Y9A, 2Y9B, 2Y9C, 2Y9D",
SNRPD3,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein D3 polypeptide 18kDa,"small nuclear ribonucleoprotein Sm D3, small nuclear ribonucleoprotein polypeptide D3, snRNP core protein D3",H. sapiens,ENSG00000100028,13916,,,6634,small nuclear ribonucleoprotein D3 polypeptide 18kDa,SMD3_HUMAN,"P62318, B5BU13, P43331","1D3B, 2Y9A, 2Y9B, 2Y9C, 2Y9D",Arg/Lys-rich (basic)
SNRPE,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptide E,"sm protein E, small nuclear ribonucleoprotein E, snRNP-E",H. sapiens,ENSG00000182004,10804,,,6635,small nuclear ribonucleoprotein polypeptide E,RUXE_HUMAN,"P62304, B2R5B9, P08578, Q15498, Q5BKT2","2Y9A, 2Y9B, 2Y9C, 2Y9D, 3CW1",
SNRPF,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptide F,"sm protein F, small nuclear ribonucleoprotein F",H. sapiens,ENSG00000139343,9725,,,6636,small nuclear ribonucleoprotein polypeptide F,RUXF_HUMAN,"P62306, A2VCR2, B2R498, Q15356, Q6IBQ1","2Y9A, 2Y9B, 2Y9C, 2Y9D, 3CW1",
SNRPG,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, U1 snRNP, U4/U6 snRNP, U5 snRNP, tri-snRNP, P complex",Sm,small nuclear ribonucleoprotein polypeptide G,"sm protein G, small nuclear ribonucleoprotein G, snRNP-G",H. sapiens,ENSG00000143977,8496,,,6637,small nuclear ribonucleoprotein polypeptide G,RUXG_HUMAN,"P62308, D6W5G6, Q15357, Q6IB86","2Y9A, 2Y9B, 2Y9C, 2Y9D, 3CW1",
RNU2-1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"RNA, U2 small nuclear 1",,H. sapiens,ENSG00000222094,61036,,,6066,"RNA, U2 small nuclear 1",,,,
SNRPA1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,small nuclear ribonucleoprotein polypeptide A',"U2 small nuclear ribonucleoprotein A', U2 small nuclear ribonucleoprotein polypeptide A', U2 snRNP A'",H. sapiens,ENSG00000131876,28416,LRRCT,,6627,small nuclear ribonucleoprotein polypeptide A',RU2A_HUMAN,"P09661, B2R5I6, Q8TBD2",1A9N,
SNRPB2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,small nuclear ribonucleoprotein polypeptide B,"U2 small nuclear ribonucleoprotein B'', U2 snRNP B'', small nuclear ribonucleoprotein polypeptide B2",H. sapiens,ENSG00000125870,25486,RRM,,6629,small nuclear ribonucleoprotein polypeptide B,RU2B_HUMAN,"P08579, B2R7J3, D3DW21, Q9UJD4",1A9N,
SF3B1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 1, 155kDa","SAP 155, pre-mRNA processing 10, pre-mRNA splicing factor SF3b, 155 kDa subunit, pre-mRNA-splicing factor SF3b 155 kDa subunit, spliceosome associated protein 155",H. sapiens,ENSG00000115524,145830,,,23451,"splicing factor 3b, subunit 1, 155kDa",SF3B1_HUMAN,O75533,"2F9D, 2F9J, 2FHO, 2PEH, 3LQV",
SF3B2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 2, 145kDa","SAP 145, pre-mRNA splicing factor SF3b 145 kDa subunit, pre-mRNA-splicing factor SF3b 145 kDa subunit, spliceosome associated protein 145, spliceosome-associated protein 145",H. sapiens,ENSG00000087365,100228,SAP,,10992,"splicing factor 3b, subunit 2, 145kDa",SF3B2_HUMAN,"Q13435, A8K485, B4DT19, Q7L4T5, Q7Z627",2DO5,"Poly-Glu, Poly-Lys, Poly-Pro"
SF3B3,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 3, 130kDa","SAP 130, pre-mRNA splicing factor SF3b, 130 kDa subunit, pre-mRNA-splicing factor SF3b 130 kDa subunit, spliceosome-associated protein 130, splicing factor 3B subunit 3",H. sapiens,ENSG00000189091,135578,,,23450,"splicing factor 3b, subunit 3, 130kDa",A8K6V3_HUMAN,A8K6V3,,
